event_no,event_name,pre_event,reaction_type,player,date,location,cause,proposal,key_topic,hashtag,tag
11,"วิ่งไล่ลุง อุทยาน
มกุฏรมยสราญ 
จ.นนทบุรี",1,1,2,12-01-2563,"อุทยาน
มกุฏรมยสราญ 
จ.นนทบุรี",-,-,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
12,"วิ่งไล่ลุง เขื่อนขุนด่าน
ปราการชล จ.นครนายก",1,1,2,12-01-2563,"เขื่อนขุนด่านปราการชล
จ.นครนายก",-,-ขับไล่รัฐบาล หรือบุคคลในรัฐบาล,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
13,วิ่งไล่ลุง สวนชมน่าน จ.พิษณุโลก,1,1,2,12-01-2563,สวนชมน่าน จ.พิษณุโลก,-,-,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
14,"วิ่งไล่ลุง 
ซอยสะพานหิน
จ.ภูเก็ต ",1,1,2,12-01-2563,"ซอยสะพานหิน 
จ.ภูเก็ต",-,-,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
15,"วิ่งไล่ลุง,วิ่งยกลุง
สวนสาธารณะสมเด็จ
พระศรีนครินทร์
95 Trang Holiday Park
จ.ตรัง",1,1,2,12-01-2563,"สวนสาธารณะสมเด็จ
พระศรีนครินทร์ 
95 Trang Holiday
Park จ.ตรัง",-,-,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
16,"เดินเชียร์ลุง 
สวนลุมพินี 
จ.กรุงเทพมหานคร",1,2,2,12-01-2563,"สวนลุมพินี
จ.กรุงเทพมหานคร",-สนับสนุนรัฐบาล พล.อ.ประยุทธ์ จันทร์โอชา,-,,#เดินเชียร์ลุง,"#เดินเชียร์ลุง
#ชังชาติ"
17,"วิ่งไล่ลุง สวนวชิรเบญจทัศ 
(สวนรถไฟ) 
จ.กรุงเทพมหานคร",1,1,2,12-01-2563," สวนวชิรเบญจทัศ 
(สวนรถไฟ) 
จ.กรุงเทพมหานคร","-ขับไล่รัฐบาล หรือบุคคลในรัฐบาล, ต้องแก้ปัญหาเศรษฐกิจ ต้องแก้รัฐธรรมนูญ
และยุติการใช้อำนาจที่เอื้อพวกพ้อง",-,,#วิ่งไล่ลุง,"#วิ่งไล่ลุง
"
18,วิ่งไล่ลุง จ.เชียงใหม่,1,1,2,12-01-2563,"จากประตูท่าแพ จ.เชียงใหม่
ไปยังอนุสาวรีย์สามกษัตริย์
 จ.เชียงใหม่","-ขับไล่รัฐบาล หรือบุคคลในรัฐบาล
","1.เรียกร้องให้รัฐบาลสนใจความเป็นอยู่ของประชาชน
2.สื่อสารให้รัฐบาลทราบว่าประชาชนไม่พอใจรัฐบาล",,#วิ่งไล่ลุง,#วิ่งไล่ลุง
19,"วิ่งไล่ลุง สวนเฉลิมพระเกียรติ 
อำเภอสตึก จ.บุรีรัมย์",1,1,2,12-01-2563,"สวนเฉลิมพระเกียรติ 
อำเภอสตึก จ.บุรีรัมย์",-,-,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
20,วิ่งไล่ลุง จ.นครศรีธรรมราช,1,1,2,12-01-2563,"วัดพระมหาธาตุวรมหาวิหาร
จังหวัดนครศรีธรรมราช 
ไปยังศาลหลักเมืองของจังหวัด",-,-,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
21,วิ่งไล่ลุง จ.นครศรีธรรมราช,1,1,2,12-01-2563,"สนามหน้าเมือง 
จ.นครศรีธรรมราช",-,"- ขับไล่รัฐบาลหรือบุคคลในรัฐบาล ขยายพื้นที่สาธารณะและพูดคุยระหว่างผู้เข้าร่วมในกิจกรรม
ที่สร้างสรรค์",,#วิ่งไล่ลุง,#วิ่งไล่ลุง
22,"วิ่งไล่ลุง ทุ่งศรีเมือง 
จ.อุบลราชธานี",1,1,2,12-01-2563,"บริเวณทุ่งศรีเมือง
จ.อุบลราชธานี",-ขับไล่รัฐบาลหรือบุคคลในรัฐบาล,-,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
23,"วิ่งไล่ลุง จากริมเขื่อนหลังศาลากลาง
 จังหวัดนครสวรรค์ จ.นครสวรรค์ 
ไปยังตลาดศรีนคร จ.นครสวรรค์",1,1,2,12-01-2563,"จากริมเขื่อนหลังศาลากลาง
 จังหวัดนครสวรรค์ จ.นครสวรรค์ 
ไปยังตลาดศรีนคร จ.นครสวรรค์",-ขับไล่รัฐบาล หรือบุคคลในรัฐบาล,-,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
24,"วิ่งไล่ลุง จาก หอนาฬิกา 
จังหวัดมหาสารคาม 
(Clock tower Mahasarakham) 
จ.มหาสารคาม 
ไปยัง เสริมไทยคอมเพล็กซ์ 
จ.มหาสารคาม",1,1,2,12-01-2563,"จาก หอนาฬิกา 
จังหวัดมหาสารคาม
 (Clock tower Mahasarakham)
 จ.มหาสารคาม 
ไปยัง เสริมไทยคอมเพล็กซ์ 
จ.มหาสารคาม","ขับไล่รัฐบาล หรือบุคคลในรัฐบาล,ให้ พล.อ.ประยุทธ์ลาออกจากตำแหน่ง, 
ยุบสภาแล้วเลือกตั้งใหม่, สว. มาจากการเลือกตั้งและยุติบทบาท, 
รัฐธรรมนูญมาจากประชาชน, ประชาชนมีสิทธิในการแสดงออกทางการเมือง",-,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
25,"วิ่งไล่ลุง 
อ่างเก็บน้ำคลองกะทะ 
จ.ภูเก็ต",1,1,2,12-01-2563,"อ่างเก็บน้ำ
คลองกะทะ
จ.ภูเก็ต",-,-,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
26,"วิ่งไล่ลุง  
สวนสมเด็จพระศรีนครินทร์
ปัตตานี จ.ปัตตานี",1,1,2,12-01-2563,"สวนสมเด็จพระศรีนครินทร์
ปัตตานี จ.ปัตตานี",-,-,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
27,"กิจกรรมต่อต้านการใช้ศาล
กดหัวประชาชน",1,1,,19-02-2563,"มหาวิทยาลัยธรรมศาสตร์
 ท่าพระจันทร์ จ.กรุงเทพมหานคร",-คัดค้านการใช้อำนาจตุลาการหรือศาลรัฐธรรมนูญในการยุบพรรคการเมือง,-,,-,-
28,ไม่ถอยไม่ทน รวมพลคนอนาคตใหม่,1,1,,21-02-2563,"
อนุสาวรีย์ท้าวสุรนารี จ.นครราชสีมา",-,-,,-,-
29,"กิจกรรมจุดเทียนเป็นรูปตราชั่ง
บนพื้นถนน 
หลังพรรคอนาคตใหม่ถูกยุบ",1,1,,21-02-2563,"
อ่างแก้ว มหาวิทยาลัยเชียงใหม่ 
จ.เชียงใหม่",- แสดงความคิดเห็นต่อการทำงานของศาลรัฐธรรมนูญในการยุบพรรคอนาคตใหม่,-,,-,-
30,"รวมพลังสานต่อภารกิจอนาคตใหม่
ค่ำคืนนี้อีกยาวนานนัก",1,1,,21-02-2563,ตึกไทยซัมมิท จ.กรุงเทพมหานคร,"-เพื่อพูดถึงแนวทางการขับเคลื่อนทางการเมืองของพรรคอนาคตใหม่ต่อไป
หลังจากถูกศาลรัฐธรรมนูญยุบพรรค",-,,-,-
31,"แฟลชม็อบประเทศนี้ไม่มี
ความยุติธรรม",1,1,,22-02-2563,"
ลานปรีดี พนมยงค์ 
มหาวิทยาลัยธรรมศาสตร์ 
ท่าพระจันทร์ จ.กรุงเทพมหานคร","-แสดงความคิดเห็นต่อการทำงานของศาลรัฐธรรมนูญในการยุบพรรคอนาคตใหม่
",-,,-,-
32,"ชูป้าย ""หยุดความอยุติธรรม""",1,1,,22-02-2563,"
อ่างแก้ว มหาวิทยาลัยเชียงใหม่
 จ.เชียงใหม่","-แสดงความคิดเห็นต่อการทำงานของศาลรัฐธรรมนูญในการยุบพรรคอนาคตใหม่
และให้กำลังใจพรรคอนาคตใหม่",-,,-,-
33,ร่วมกันใส่ชุดดำไว้อาลัยให้ประชาธิปไตย,1,1,,22-02-2563,"
มหาวิทยาลัยนเรศวร จ.พิษณุโลก",-ไว้อาลัยแก่ประชาธิปไตยและเหตุการณ์การยุบพรรคอนาคตใหม่,-,,-,-
34,จุดเทียนเขียนคืนความยุติธรรม,1,1,,23-02-2563,มหาวิทยาลัยบูรพา จ.ชลบุรี,"-เรียกร้องกรณีการตัดสินยุบพรรคอนาคตใหม่ที่ไม่ยุติธรรมและการจับกุมผู้ใช้ทวิตเตอร์
 ""นิรนาม"" โดยกฎหมายที่จำกัดสิทธิเสรีภาพและไม่เป็นธรรม",-,,-,-
35,"อ่านแถลงการณ์แสดงความเสียใจต่อ
การยุบอนาคตใหม่",1,1,,23-02-2563,"
มหาวิทยาลัยสงขลานครินทร์ 
วิทยาเขตปัตตานี จ.ปัตตานี",-แสดงความเสียใจต่อพรรคอนาคตใหม่และแสดงความเป็นห่วงความขัดแย้งในสังคม,-,,-,-
36,"จุฬาฯรวมพล #CUassemble ..เพราะ
เกียรติภูมิจุฬา คือ เกียรติแห่ง
การรับใช้ประชาชน",1,1,,24-02-2563,"หอประชุมจุฬาลงกรณ์มหาวิทยาลัย 
จ.กรุงเทพมหานคร","-แสดงความคิดเห็นต่อการทำงานของศาลรัฐธรรมนูญในการยุบพรรคอนาคตใหม่ 
และขับไล่รัฐบาล",-,,#CUassemble ,-
37,#มอกะเสดไม่ใช่ขนมหวานราดกะทิ,1,1,,24-02-2563,"
หอประชุมใหญ่ 
มหาวิทยาลัยเกษตรศาสตร์ บางเขน 
จ.กรุงเทพมหานคร",-วิจารณ์การทำงานของรัฐบาล พล.อ.ประยุทธ์ จันทร์โอชา,-,," #มอกะเสดไม่ใช่
ขนมหวานราดกะทิ",-
38,"จุดเทียนปราศรัย ประชาธิปไตย? 
แฟลชม็อบ",1,1,,24-02-2563,"
มหาวิทยาลัยศิลปากร 
วิทยาเขตพระราชวังสนามจันทร์ 
จ.นครปฐม",-วิจารณ์การทำงานของรัฐบาล,-,,-,-
39,#กันเกราไม่เอากะลา,1,1,,25-02-2563,จ.อุบลราชธานี,"วิจารณ์การทำงานของรัฐบาลและแสดงความคิดเห็นต่อกรณีศาลรัฐธรรมนูญตัดสิน
ยุบพรรคอนาคตใหม่",-,,#กันเกราไม่เอากะลา,-
40,#BUกูไม่ใช่สลิ่ม,1,1,,25-02-2563,"
มหาวิทยาลัยกรุงเทพ จ.ปทุมธานี",วิจารณ์การทำงานของรัฐบาลและขับไล่รัฐบาล,-,,#BUกูไม่ใช่สลิ่ม,-
41,#มหาวิทยาลัยปลูกกัญชานักศึกษาไม่กินสลิ่ม,1,1,,25-02-2563,มหาวิทยาลัยแม่โจ้ จ.เชียงใหม่,แสดงออกถึงพลังรักประชาธิปไตย ต่อต้านเผด็จการ,-,,"#มหาวิทยาลัยปลูกกัญชา
นักศึกษาไม่กินสลิ่ม",-
42,#ช้างเผือกจะไม่ทน,1,1,,25-02-2563,"
ศาลาธรรม มหาวิทยาลัยเชียงใหม่
 จ.เชียงใหม่",เรียกร้องให้นายกรัฐมนตรีลาออกและให้ยุบสภา,-,,#ช้างเผือกจะไม่ทน,-
43,#ศาลายางดกินของหวานหลายสี,1,1,,25-02-3563,"
อาคารศูนย์การเรียนรู้มหิดล 
จ.นครปฐม",แสดงความคิดเห็นต่อการทำงานของศาลรัฐธรรมนูญในการยุบพรรคอนาคตใหม่,-,,"#ศาลายางดกินของ
หวานหลายสี",-
44,#ราชมงคลจะไม่ทนอีกต่อไป,1,1,,25-02-3563,"
มหาวิทยาลัยเทคโนโลยีราช
มงคลธัญบุรี จ.ปทุมธานี",เพื่อแสดงออกเชิงสัญลักษณ์ไม่เอาเผด็จการ,-,,"#ราชมงคลจะไม่ทน
อีกต่อไป",-
45,#นิด้ามาน้อยแต่มาโว้ย,1,1,,26-02-2563,"
สถาบันบัณฑิตพัฒนบริหารศาสตร์
 จ.กรุงเทพมหานคร",ขับไล่รัฐบาล,-,,#นิด้ามาน้อยแต่มาโว้ย,-
46,#มขพอกันที,1,1,,26-02-2563,"
บึงสีฐาน มหาวิทยาลัยขอนแก่น 
จ.ขอนแก่น",วิจารณ์การทำงานและขับไล่รัฐบาล,-,,#มขพอกันที,-
47,มศว. องครักษ์ ไว้อาลัย 'ประชาธิปไตย',1,1,,26-02-2563,"
มหาวิทยาลัยศรีนครินทรวิโรฒ
 องครักษ์ จ.นครนายก",ไว้อาลัย 'ประชาธิปไตย',-,,"มศว. องครักษ์ ไว้อาลัย 
'ประชาธิปไตย'",-
48,#เด็กเดชฯอยากเนรเทศเผด็จการ,1,1,,26-02-2563,"
หน้าโรงเรียนเดชอุดม จ.อุบลราชธานี",ประกาศจุดยืนต่อต้านเผด็จการ,-,,"#เด็กเดชฯอยากเนรเทศ
เผด็จการ",-
49,"#ราชมงคลจะไม่ทนอีกต่อไป มทร.อีสาน
 วิทยาเขตขอนแก่น",1,1,,26-02-2563,"
มหาวิทยาลัยเทคโนโลยีราช
มงคลอีสาน วิทยาเขตขอนแก่น จ.ขอนแก่น",เรียกร้องประชาธิปไตย,-,,"#ราชมงคลจะไม่ทนอีก
ต่อไป มทร.อีสาน 
วิทยาเขตขอนแก่น",-
50,#ราชภัฏอยากงัดกับสลิ่ม,1,1,,26-02-2563,"มหาวิทยาลัยราชภัฏพิบูลสงคราม
 จ.พิษณุโลก",รวมตัวแสดงออกถึงประชาธิปไตย และขับไล่รัฐบาล,-,,#ราชภัฏอยากงัดกับสลิ่ม,-
51,#สวที่อยู่ข้างประชาธิปไตย,1,1,,26-02-2563,"
โรงเรียนสตรีวิทยา จ.กรุงเทพมหานคร",เพื่อร่วมแสดงออกทางการเมือง,-,,#สวที่อยู่ข้างประชาธิปไตย,-
52,#เชียงรายไม่เอาเผด็จการ,1,1,,26-02-2563,"
ศาลากลางจังหวัดเชียงรายหลังเก่า
 จ.เชียงราย","เรียกร้องให้ยุบสภา, แก้ไขรัฐธรรมนูญ เอา ส.ว.250 เสียงออกไป
และให้ พล.อ.ประยุทธ์ จันทร์โอชาเลิกยุ่งเกี่ยวการเมือง",-,,#เชียงรายไม่เอาเผด็จการ,-
53,#ดอกจานบานที่อุดรบ่ออนซอนเผด็จการ,1,1,,26-02-2563,"
มหาวิทยาลัยราชภัฏอุดรธานี
 จ.อุดรธานี",แสดงความกังวลต่อกรณีการยุบพรรคอนาคตใหม่และการทำงานของรัฐบาล,-,,"#ดอกจานบานที่อุดร
บ่ออนซอนเผด็จการ",-
54,#ศิลปากรขอมีซีน,1,1,,26-02-2563,"
มหาวิทยาลัยศิลปากร 
วิทยาเขตพระราชวังสนามจันทร์
 จ.นครปฐม",ขับไล่รัฐบาล,-,,#ศิลปากรขอมีซีน,-
55,#วังท่าพระไม่สายลมแสงแดด,1,1,,26-02-2563,"
ลาน อ.ศิลป์ พีระศรี
 มหาวิทยาลัยศิลปากร วังท่าพระ 
จ.กรุงเทพมหานคร",วิจารณ์การทำงานของรัฐบาล วิจารณ์ศาลรัฐธรรมนูญในการยุบพรรคอนาคตใหม่ ,เรียกร้องให้แก้ไขรัฐธรรมนูญ,,#วังท่าพระไม่สายลมแสงแดด,-
56,#ศิลป์เพชรไม่เงียบ,1,1,,26-02-2563," มหาวิทยาลัยศิลปากร 
วิทยาเขตสารสนเทศเพชรบุรี 
จ.เพชรบุรี",แสดงจุดยืนว่าต้องการประชาธิปไตย,-,,#ศิลป์เพชรไม่เงียบ,-
57,#ขอกู้คืนเกียรติ คนยังยืนโดดเด่นโดยท้าทาย,1,1,,26-02-2563,"
มหาวิทยาลัยวลัยลักษณ์ 
จ.นครศรีธรรมราช",-,-,,"#ขอกู้คืนเกียรติ คนยังยืนโดดเด่น
โดยท้าทาย",-
58,#หนังสือก็ต้องอ่านของหวานไม่ชอบกิน,1,1,,26-02-2563,"
สถาบันเทคโนโลยีพระจอมเกล้า
เจ้าคุณทหารลาดกระบัง 
จ.กรุงเทพมหานคร","แสดงจุดยืนต่อต้านความไม่เป็นประชาธิปไตย จากกรณีศาลรัฐธรรมนูญตัดสิน
ยุบพรรคอนาคตใหม่",-,,"#หนังสือก็ต้องอ่านของหวาน
ไม่ชอบกิน",-
59,"#มอออตานีขยี้รอบสอง แฟลชม็อบจากรูสะมิแล 
ไม่แคร์เผด็จการ",1,1,,26-02-2563,"ตึกกิจกรรมนักศึกษา 
มหาวิทยาลัยสงขลานครินทร์ 
วิทยาเขตปัตตานี จ.ปัตตานี",วิจารณ์การทำงานของรัฐบาล เรียกร้องประชาธิปไตยเเละสังคมที่เป็นธรรม,"ข้อเรียกร้อง 3 ข้อ
1. ให้มีการเลือกตั้งสมาชิกสภาร่างรัฐธรรมนูญเพื่อให้มีการร่างรัฐธรรมนูญและเปิดให้มี
การลงประชามติร่างรัฐธรรมนูญ 
2. ให้ผู้ดำรงตำแหน่งในองค์กรอิสระที่ได้รับการแต่งตั้ง
หรือขยายระยะเวลาการดำรงตำแหน่งจากคสช.ลาออก 
 3. ให้พล.อ.ประยุทธ์ จันทร์โอชา นายกรัฐมนตรีลาออกจากตำแหน่ง",,"#มอออตานีขยี้รอบสอง 
แฟลชม็อบจากรูสะมิแล 
ไม่แคร์เผด็จการ",-
60,#ธรรมศาสตร์และการชุมนุม,1,1,,26-02-2563,"
ลานพญานาค
 มหาวิทยาลัยธรรมศาสตร์ รังสิต 
จ.ปทุมธานี",วิจารณ์การทำงานและขับไล่รัฐบาล และเรียกร้องประชาธิปไตย,- เรียกร้องประชาธิปไตย,,#ธรรมศาสตร์และการชุมนุม,-
61,#มศวขอมีจุดยืน,1,1,,26-02-2563,"
มหาวิทยาลัยศรีนครินทรวิโรฒ 
ประสานมิตร จ.กรุงเทพมหานคร",วิจารณ์การทำงานของรัฐบาลและศาลรัฐธรรมนูญ,-,,#มศวขอมีจุดยืน,-
62,#ทีมลูกระนาดอยากจะฟาดบ้างแม่,1,1,,26-02-2563,"หอประชุมธํารง บัวศรี
 มหาวิทยาลัยบูรพา จ.ชลบุรี",เพื่อแสดงออกคัดค้านความไม่เป็นธรรมและรัฐบาลเผด็จการ,-,,#ทีมลูกระนาดอยากจะฟาดบ้างแม่,-
63,"การชุมนุมของนักศึกษามหาวิทยาลัยราชภัฏ
สุราษฎร์ธานี",1,1,,26-02-2563,"
มหาวิทยาลัยราชภัฎสุราษฎร์ธานี 
จ.สุราษฎร์ธานี",แสดงถึงความห่วงกังวลเกี่ยวกับคำวินิจฉัยของศาลรัฐธรรมนูญในการยุบพรรคอนาคตใหม่,-,,-,-
64,#ลูกแม่ไทรไม่เอาเผด็จการ,1,1,,26-02-2563,"
มหาวิทยาลัยหอการค้าไทย 
จ.กรุงเทพมหานคร","วิจารณ์การทำงานของรัฐบาล
",-,,#ลูกแม่ไทรไม่เอาเผด็จการ,-
65,#มรนเพื่อประชาธิปไตย,1,1,,2563-02-27,"
มหาวิทยาลัยราชภัฎนครปฐม 
จ.นครปฐม",เพื่อแสดงออกถึงความไม่เห็นด้วยกับการยุบพรรคอนาคตใหม่ ,-เรียกร้องเอาประชาธิปไตยไม่เอาเผด็จการ,,#มรนเพื่อประชาธิปไตย,-
66,#ศาลาวีรชนจะไม่ใช่ที่หลบฝนอีกต่อไป,1,1,,2563-02-27,"
มหาวิทยาลัยพระจอมเกล้าธนบุรี
 จ.กรุงเทพมหานคร",เรียกร้องให้ประเทศเป็นประชาธิปไตยอย่างแท้จริง,-,,"#ศาลาวีรชนจะไม่ใช่ที่หลบฝน
อีกต่อไป",-
67,#ราชมงคลอีสานต่อต้านเผด็จการ,1,1,,2563-02-27,"
มหาวิทยาลัยเทคโนโลยีราชมงคล
อีสาน จ.นครราชสีมา",วิจารณ์การทำงานของรัฐบาลและศาลรัฐธรรมนูญ,-,,#ราชมงคลอีสานต่อต้านเผด็จการ,-
68,#รังสิตขับไล่เผด็จการ,1,1,,2563-02-27,"
มหาวิทยาลัยรังสิต จ.ปทุมธานี",ขับไล่รัฐบาล,-,,#รังสิตขับไล่เผด็จการ,-
69,#ลูกพ่อขุนไม่รับใช้เผด็จการ,1,1,,2563-02-27,"มหาวิทยาลัยรามคำแหง 
จ.กรุงเทพมหานคร","เรียกร้องให้แก้รัฐธรรมนูญ ให้ผู้ดำรงตำแหน่งในองค์กรอิสระ 
ที่ได้รับการแต่งตั้งในสมัยรัฐประหารลาออกและให้นายกรัฐมนตรีลาออก","ข้อเรียกร้อง 3 ข้อ คือ 
1.)​ ให้ร่างรัฐธรรมนูญใหม่ทั้งฉบับ โดยสภาร่างรัฐธรรมนูญ (สสร.) 
รับฟังความคิดเห็นอย่างอิสระ และทำประชามติ
 2.) ให้นายกรัฐมนตรีต้องลาออก 
 3.) ผู้ดำรงตำแหน่งในองค์กรอิสระ ที่ได้รับการแต่งตั้งในสมัยรัฐประหารลาออก",,#ลูกพ่อขุนไม่รับใช้เผด็จการ,-
70,#มมสไม่เอาเผด็จการ,1,1,,2563-02-27,"
มหาวิทยาลัยมหาสารคาม 
จ.มหาสารคาม",ขับไล่รัฐบาลและเรียกร้องให้ร่างรัฐธรรมนูญฉบับใหม่,"-เรียกร้องให้นายกรัฐมนตรีลาออกรวมไปถึงให้มีการร่างรัฐธรรมนูญฉบับใหม่ที่
เป็นของประชาชน ",,#มมสไม่เอาเผด็จการ,-
71,#สวนสุนันทาไม่เป็นขี้ข้าเผด็จการ,1,1,,2563-02-27,"
มหาวิทยาลัยราชภัฏสวนสุนันทา
 จ.กรุงเทพมหานคร","แสดงจุดยืนทางการเมืองเพื่อเรียกร้องความเป็นธรรมให้พรรคอนาคตใหม่ 
จากการที่ศาลรัฐธรรมนูญวินิจฉัยให้ยุบพรรคและผลักดันประชาธิปไตย",-,,#สวนสุนันทาไม่เป็นขี้ข้าเผด็จการ,-
72,#เกียมอุดมไม่ก้มหัวให้เผด็จการ,1,1,,2563-02-27,"โรงเรียนเตรียมอุดมศึกษา 
จ.กรุงเทพมหานคร",เรียกร้องให้มีรัฐบาลที่มาจากเสียงของประชาชนอย่างแท้จริง,-,,#เกียมอุดมไม่ก้มหัวให้เผด็จการ,-
73,#มธศูนย์ป่าปงเกลียดเผด็จการ,1,1,,2563-02-27,"
มหาวิทยาลัยธรรมศาสตร์
 ศูนย์ลำปาง จ.ลำปาง",วิจารณ์การทำงานของรัฐบาลและศาลรัฐธรรมนูญกรณียุบพรรคอนาคตใหม่,-,,#มธศูนย์ป่าปงเกลียดเผด็จการ,-
74,#spuไม่กล้าขยับอยู่ใกล้ราบ11,1,1,,2563-02-27,"
มหาวิทยาลัยศรีปทุม       
จ.กรุงเทพมหานคร",วิจารณ์การทำงานของรัฐบาลและศาลรัฐธรรมนูญกรณียุบพรรคอนาคตใหม่,-,,#spuไม่กล้าขยับอยู่ใกล้ราบ11,-
