event_no,event_name,pre_event,reaction_type,player,date,location,cause,proposal,key_topic,hashtag,tag
5,การชุมนุมของคณะราษฎร (ต่อเนื่อง) (ถูกสลายการชุมนุม),4,1,2,15-10-2563,หน้าทำเนียบรัฐบาล,(ต่อเนื่องจาก 14 ตุลาคม 2563),,,,
6,การชุมนุม Flashmob #15ตุลาไปราชประสงค์,5,1,2,15-10-2563,แยกราชประสงค์,"- ขับไล่รัฐบาล หรือบุคคลในรัฐบาล 

- เรียกร้องให้ปล่อยตัวผู้ชุมนุมที่ถูกจับกุมจากการสลายการชุมนุมและแกนนำที่ถูกจับตัวไป","- เรียกร้องให้ปล่อยตัวแกนนำคณะราษฎรและแนวร่วมที่ถูกจับตัวไป ระหว่างการชุมนุมตั้งแต่ 13-15 ต.ค. และให้เปิดเผยสถานที่ควบคุมตัวผู้ต้องหาทั้งหมด

- เรียกร้องให้ยกเลิกการประกาศใช้ พ.ร.ก.ฉุกเฉิน

- ย้ำจุดยืน ไม่เอานายกฯ พระราชทาน และรัฐบาลแห่งชาติ

- ย้ำจุดยืน ไม่เอารัฐประหาร

(ข้อเรียกร้องเรื่องการปฏิรูปสถาบันพระมหากษัตริย์ ถูกพูดถึงบ้างประปราย แต่ไม่ใช่สาระหลักที่มีการหยิบยกขึ้นมาปราศรัย)

(https://www.bbc.com/thai/thailand-54567169)","1,4",,
6.1,#ม็อบ15ตุลา : ประชาคมมอชอ,5,1,1,15-10-2563,"มหาวิทยาลัยเชียงใหม่ 
จ.เชียงใหม่","ให้มหาวิทยาลัยแสดงจุดยืนเกี่ยวกับนักศึกษาที่ถูกจับ,รัฐหยุดคุกคามประชาชน และยกเลิกประกาศสถานการณ์ฉุกเฉินร้ายแรงทันทีและปล่อยเพื่อนของเรา",,1,,
7,การชุมนุม Flashmob #16ตุลาไปแยกปทุมวัน (ถูกสลายการชุมนุม),5,1,2,16-10-2563,แยกปทุมวัน,"- เรียกร้องให้พลเอกประยุทธ์ต้องลาออก

- เปิดวิสามัญรับร่างแก้ไขเพิ่มเติมรัฐธรรมนูญจากประชาชน

- ปฏิรูปสถาบันกษัตริย์ 

- เรียกร้องให้เจ้าหน้าที่ปล่อยแกนนำที่จับไปตั้งแต่วันที่ 13-15 ตุลาคม 63","1. เรียกร้องให้พลเอกประยุทธ์และพรรคพวกต้องลาออก

2. เปิดวิสามัญรับร่างแก้ไขเพิ่มเติมรัฐธรรมนูญจากประชาชน

3. ปฏิรูปสถาบันกษัตริย์ให้อยู่ภายใต้รัฐธรรมนูญตามระบอบประชาธิปไตย

และอีกหนึ่งข้อใหม่ = เรียกร้องให้เจ้าหน้าที่ปล่อยแกนนำและผู้ชุมนุมที่ถูกจับไปตั้งแต่วันที่ 13-15 ตุลาคม 63","1,2,3,4",,
7.1,#ม็อบ16ตุลา : #ประณามการกระทำของรัฐ,5,1,1,16-10-2563,"คณะนิติศาสตร์ มหาวิทยาลัยอุบลราชธานี 
จ.อุบลราชธานี",ประณามการใช้ความรุนแรงในการสลายการชุมนุมของรัฐ ข้อเสนอ ทุกมหาวิทยาลัยออกมาปกป้องการแสดงออกของนักศึกษาและจัดตั้งกองทุนประกันตัวนักศึกษา สื่อสารเพื่อให้ยกเลิกการประกาศ พรก.ฉุกเฉิน และเรียกร้องให้นายกรัฐมนตรีลาออกโดยเร็ว,,"1,2",,
8.1,"การชุมนุม Flashmob #17ตุลา

#ม็อบ17ตุลา : ห้าแยกลาดพร้าว",7,1,2,17-10-2563,ห้าแยกลาดพร้าว ,"พลเอกประยุทธ์ จันทร์โอชา นายกรัฐมนตรีต้องลาออก, แก้ไขรัฐธรรมนูญ, ปฏิรูปสถาบันกษัตริย์และปล่อยตัวนักกิจกรรมที่ถูกจับกุมระหว่างวันที่ 13-15 ตุลาคม 2563",,"1,2,3,4",,
8.2,"การชุมนุม Flashmob #17ตุลา

#ม็อบ17ตุลา : อุดมสุข บางนา",7,1,2,17-10-2563,BTS อุดมสุข ,"พลเอกประยุทธ์ จันทร์โอชา นายกรัฐมนตรีต้องลาออก, แก้ไขรัฐธรรมนูญ, ปฏิรูปสถาบันกษัตริย์และปล่อยตัวนักกิจกรรมที่ถูกจับกุมระหว่างวันที่ 13-15 ตุลาคม 2563",,"1,2,3,4",,
8.3,"การชุมนุม Flashmob #17ตุลา

#ม็อบ17ตุลา : วงเวียนใหญ่",7,1,2,17-10-2563,วงเวียนใหญ่,"ตอบโต้การกระทำของรัฐบาลที่ สลายการชุมนุม ขับไล่รัฐบาล หรือบุคคลในรัฐบาล

พลเอกประยุทธ์ จันทร์โอชา นายกรัฐมนตรีต้องลาออก, แก้ไขรัฐธรรมนูญ, ปฏิรูปสถาบันกษัตริย์และปล่อยตัวนักกิจกรรมที่ถูกจับกุมระหว่างวันที่ 13-15 ตุลาคม 2563",,"1,2,3,4",,
8.4,#ม็อบ17ตุลา : สามย่านมิตรทาวน์ โดยกลุ่ม Spring Movement,7,1,1,17-10-2563,"สามย่านมิตรทาวน์ Samyan MitrTown 
กรุงเทพมหานคร","พลเอกประยุทธ์ จันทร์โอชา นายกรัฐมนตรีต้องลาออก, แก้ไขรัฐธรรมนูญ, ปฏิรูปสถาบันกษัตริย์และปล่อยตัวนักกิจกรรมที่ถูกจับกุมระหว่างวันที่ 13-15 ตุลาคม 2563",,"1,2,3,4",,
8.5,#ม็อบ17ตุลา : มข.จะไม่ทน โดย กลุ่มขอนแก่นพอกันที  กลุ่มภาคีนักเรียนKKC กลุ่มดาวดิน กลุ่มวาทีวิชาการและการปฏิวัติ กลุ่มคณะราษฎรขอนแก่น,7,1,2,17-10-2563,"อาคารคอมเพล็กซ์ มหาวิทยาลัยขอนแก่น 
จ.ขอนแก่น","ประณามเหตุสลายการชุมนุม,เรียกร้องให้ปล่อยตัวผู้ถูกจับกุม,สนับสนุนข้อเรียกร้อง 3 ข้อ,เรียนร้องให้มหาวิทยาลัยช่วยเหลือนักศึกษาที่ถูกจับกุม","ประเด็นของการปราศรัย หลัก อยู่ 4 เรื่อง คือ 
1. ประณามเหตุสลายการชุมชนที่แยกปทุมวัน 
2.เรียกร้องให้ปล่อยตัวผู้ถูกจับกุมคุมขังและดำเดินคดีทั้งหมด 
3.สนับสนุนข้อเรียกร้องทั้ง 3 ข้อ คือ ประยุทธ์ลาออก,ร่างรัฐธรรมนูญใหม่,ปฎิรูปสถาบันกษัตริย์
4.เรียกร้องให้มหาวิทยาลัยให้ความช่วยเหลือต่อกรณีที่มีนักศึกษาถูดควบคุมตัว","1,2,3,4",,
8.6,#ม็อบ17ตุลา : อุบลบ่ทนแล้ว,7,1,2,17-10-2563,"ศาลหลักเมือง จังหวัดอุบลราชธานี 
จ.อุบลราชธานี",แสดงจุดยืนไม่เห็นด้วยกับการใช้ความรุนแรงสลายการชุมนุมเมื่อวันที่ 16 ต.ค. ที่แยกปทุมวัน ,,,,
8,(เหลือเช็คข้อมูล),7,1,2,17-10-2563,,"""ดาวดิน สามัญชน"" ประกาศกระจายตัวชุมนุมหลายจังหวัด
เฟซบุ๊กเพจ ""ดาวดิน สามัญชน"" ประกาศกระจายตัวชุมนุมในหลายจังหวัด คู่ขนานกับการชุมนุมในกรุงเทพฯ วันนี้ (17 ต.ค.) โดยส่วนใหญ่นัดหมายในช่วงเย็น

หนองคาย ศาลากลางหลังเดิม
ร้อยเอ็ด หน้าศาลากลาง
พัทยา แหลมบาลีฮาย
นครปฐม วัดพระงาม
พะเยา ลานสมเด็จ ม.พะเยา
เชียงราย ลานดาว ม.แม่ฟ้าหลวง
นครสวรรค์ บ่อบำบัดน้ำเสีย
กาฬสินธุ์ หน้าศาลากลางหลังเก่า
อุตรดิตถ์ ริมน้ำน่าน
ตรัง วงเวียนพะยูน
อุดรธานี ทุ่งศรีเมือง
สงขลา หน้าคณะนิติศาสตร์ มอ. หาดใหญ่
นครราชสีมา ลานหมอลำ ม.เทคโนโลยีสุรนารี
สุรินทร์ สวนใหม่จังหวัดสุรินทร์
สกลนคร บขส. ใหม่สกลฯ",,,,
8,(เหลือเช็คข้อมูล),7,1,2,17-10-2563,,"""แฟลชม็อบ"" โผล่หลายจุดทั่วกรุงเทพฯ
พื้นที่การชุมนุมของ ""คณะราษฏร"" ซึ่งล่าสุดได้ประกาศเปลี่ยนชื่อเป็นการชุมนุมของ ""ราษฎร"" ได้กระจายตัวไปยังจุดหลัก ๆ ในกรุงเทพฯ ประกอบด้วย

ลานพ่อขุน มหาวิทยาลัยรามคำแหง
ภายในมหาวิทยาลัยเกษตร
สถานีรถไฟฟ้า MRT พระนั่งเกล้า

",,,,
9.1,"การชุมนุม Flashmob #18ตุลา

#ม็อบ18ตุลา: 18ตุลาไปอนุสาวรีย์ชัย",7,1,2,18-10-2563,"อนุสาวรีย์ชัยสมรภูมิ
กรุงเทพมหานคร",เรียกร้องและกดดันให้เจ้าหน้าที่ปล่อยตัวแกนนำที่ถูกจับกุมไปดำเนินคดีทั้งหมด และยืนยันข้อเรียกร้อง 3 ข้อ 1. นายกลาออก 2. แก้รัฐธรรมนูญ 3. ปฏิรูปสถาบันกษัตริย์,,"1,2,3,4",,
9.2,"การชุมนุม Flashmob #18ตุลา

ม็อบ18ตุลา : แยกอโศก",7,1,2,18-10-2563,"แยกอโศก
กรุงเทพมหานคร",เรียกร้องตามข้อเรียกร้อง 3 ข้อ นายกลาออก แก้ไขรัฐธรรมนูญและปฏรูปสถาบันกษัตริย์ รวมทั้งประณามการใช้ความรุนแรงของเจ้าหน้าที่ที่สลายการชุมนุมเมื่อวันที่ 16 ตุลาคม แยกปทุมวัน และเรียกร้องให้ปล่อยตัวผู้ชุมนุมทุกคนที่ถูกจับ ,,"1,2,3,4",,
9.3,"การชุมนุม Flashmob #18ตุลา
#ม็อบ18ตุลา : พระประแดง
",7,1,2,18-10-2563,"สามแยกประแดง 
จ.สมุทรปราการ","เรียกร้องแก้ไขรัฐธรรมนูญ,ขับไล่รัฐบาล หรือบุคคลในรัฐบาล",,,,
9.4,#ม็อบ18ตุลา : ม.นเรศวร โดยกลุ่ม Nu-Movement,7,1,1,18-10-2563,"ลานอเนกประสงค์ (ลานแอโรบิค) มหาวิทยาลัยนเรศวร
จ.พิษณุโลก",,,,,
9.5,#ม็อบ18ตุลา : #18ตุลาไปม็อบลานจันท์,7,1,2,18-10-2563,"ลานกีฬาคนรักจันท์ 
จ.จันทบุรี","ขับไล่รัฐบาล หรือบุคคลในรัฐบาล,เรียกร้องให้ปล่อยตัวนักกิจกรรม",,,,
9.6,#ม็อบ18ตุลา : ฉะเชิงเทรา,7,1,2,18-10-2563,"ศาลากลาง 
จ.ฉะเชิงเทรา","เรียกร้องแก้ไขรัฐธรรมนูญ,ขับไล่รัฐบาล หรือบุคคลในรัฐบาล,ปฏิรูปสถาบันกษัตริย์",,,,
9.7,#ม็อบ18ตุลา : พุทธมณฑลสายสี่,7,1,2,18-10-2563,"แยกพุทธมณฑลสาย 4 
จ.สมุทรสาคร","เรียกร้องแก้ไขรัฐธรรมนูญ,ปฏิรูปสถาบันกษัตริย์,ขับไล่รัฐบาล หรือบุคคลในรัฐบาล",,,,
9.8,#ม็อบ18ตุลา : สระบุรีไม่เอาเผด็จการ,7,1,2,18-10-2563,"จุดพักรถบายพาส 
จ.สระบุรี",ออกมาร่วมกันต้านเผด็จการ ขับไล่รัฐบาล หรือบุคคลในรัฐบาล,,,,
9.9,#ม็อบ18ตุลา : ม.ทักษิณ,7,1,2,18-10-2563,"มหาวิทยาลัยทักษิณ 
จ.สงขลา",,,,,
9.1,#ม็อบ18ตุลา : ศรีสะเกษจะไม่ทน,7,1,2,18-10-2563,"ศาลหลักเมือง 
จ.ศรีสะเกษ",เพื่อแสดงความไม่พอใจต่อการใช้ความรุนแรงต่อผู้ชุมนุมโดยสงบปราศจากอาวุธ,,,,
9.11,#ม็อบ18ตุลา : ระยอง,7,1,2,18-10-2563,"สวนสุขภาพเทศบาลเมืองบ้านฉาง 
จ.ระยอง","เรียกร้องแก้ไขรัฐธรรมนูญ,ขับไล่รัฐบาล หรือบุคคลในรัฐบาล,ปฏิรูปสถาบันกษัตริย์",,,,
9.12,"กิจกรรม “และแล้วผองเพื่อนก็เคลื่อนพล” โดย กลุ่มดาวดิน,ขอนแก่นพอกันที และภาคีนักเรียน KKC ",7,1,2,18-10-2563,"อนุสาวรีย์ประชาธิปไตยขอนแก่น 
จ.ขอนแก่น",เพื่อเรียกร้องตามข้อเรียกร้อง 3 ข้อ 1.นายกรัฐมนตรีลาออก 2.เปิดประชุมสภาสมัยวิสามัญเพื่อยกร่างแก้ไขรัฐธรรมนูญ 3.ปฏิรูปสถาบันกษัตริย์ และปล่อยนักกิจกรรมทางการเมืองที่อยู่ในเรือนจำ,,,,
9.13,#ม็อบ18ตุลา : เชียงใหม่,7,1,2,18-10-2563,"ศาลช้าง ศาลาอ่างแก้ว 
จ.เชียงใหม่","เรียกร้องแก้ไขรัฐธรรมนูญ,ขับไล่รัฐบาล หรือบุคคลในรัฐบาล และเรียกร้องให้มหาวิทยาลัยออกมาปกป้องนักศึกษา","มีแถลงการณ์เรียกร้องต่อผู้บริหารมหาวิทยาลัยเชียงใหม่ คือ
 
1. ผู้บริหารมหาวิทยาลัยเชียงใหม่ ต้องแถลงการณ์แสดงจุดยืนในการให้ความช่วยเหลือนักศึกษาที่ถูกควบคุมตัว,ออกหมายจับและถูกดำเนินคดีทางการเมืองผ่านสื่อ

2. มหาวิทยาลัยเชียงใหม่ จะต้องรับประกันความปลอดภัยของนักศึกษาทุกคนที่ร่วมกันจัดกิจกรรมขับเคลื่อนทางการเมืองภายในมหาวิทยาลัยจากการคุกคามของเจ้าหน้าที่รัฐ ",,,
9.14,#ม็อบ18ตุลา : อิมพีเรียลเวิลด์ สำโรง,7,1,2,18-10-2563,"อิมพีเรียลเวิลด์ สำโรง 
จ.สมุทรปราการ","เรียกร้องแก้ไขรัฐธรรมนูญ,ปฏิรูปสถาบันกษัตริย์,ขับไล่รัฐบาล หรือบุคคลในรัฐบาล",,,,
9.15,#ม็อบ18ตุลา : สิงห์บุรีไม่เป็นขี้ข้าเผด็จการ,7,1,2,18-10-2563,ศาลหลักเมือง จ.สิงห์บุรี,"เรียกร้องแก้ไขรัฐธรรมนูญ,ขับไล่รัฐบาล หรือบุคคลในรัฐบาล,ปฏิรูปสถาบันกษัตริย์",,,,
9.16,#ม็อบ18ตุลา : เอาเสรีภาพกูคืนมา โดยกลุ่มเยาวชน นิสิต นักศึกษามหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน ในนามกลุ่ม Korat No เผด็จการ,7,1,2,18-10-2563,"คุรุสัมมนาคาร มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน 
จ.นครราชสีมา","ร่วมแสดงความคิดเห็นและแสดงจุดยืนทางเสรีภาพ ต่อต้านการใช้ความรุนแรง เรียกร้องแก้ไขรัฐธรรมนูญ,ขับไล่รัฐบาล หรือบุคคลในรัฐบาล,ปฏิรูปสถาบันกษัตริย์","- เรียกร้อง 3 ข้อ ประกอบด้วย “ 1. ประยุทธ์ จันทร์โอชา และพรรคพวกจะต้องลาออกจากตำแหน่ง , 2.จะต้องมีการร่างรัฐธรรมนูญข้ามาใหม่ โดยภาคประชาชน และ 3.ยุบสภา ประยุทธ์ฯต้องลาออก , ส.ว.ต้องลาออก  

- ขอประณามการที่รัฐบาลใช้ความรุนแรงในการยุติการชุมชน พร้อมเรียกร้องให้รัฐบาลหยุดคุกคามประชาชน

- เรียกร้องให้ปล่อยตัวแกนนำทุกคนที่ถูกจับกุมไปทันที โดยไม่มีข้อแม้",,,
9.17,#ม็อบ18ตุลา : สามแยกบางใหญ่,7,1,2,18-10-2563,"เซ็นทรัลพลาซา เวสต์เกต 
จ.นนทบุรี","เรียกร้องแก้ไขรัฐธรรมนูญ,ขับไล่รัฐบาล หรือบุคคลในรัฐบาล,ปฏิรูปสถาบันกษัตริย์",,,,
9.18,#ม็อบ18ตุลา : ปราจีนบุรีไม่เอาเผด็จการ,7,1,2,18-10-2563,"ศาลากลางจังหวัดปราจีนบุรีหลังเก่า 
จ.ปราจีนบุรี","เรียกร้องแก้ไขรัฐธรรมนูญ,ขับไล่รัฐบาล หรือบุคคลในรัฐบาล",,,,
9.19,#ม็อบ18ตุลา : อยุธยาไม่เอาเผด็จการ,7,1,2,18-10-2563,"สะพานปรีดีธำรงค์ 
จ.พระนครศรีอยุธยา ","เรียกร้องแก้ไขรัฐธรรมนูญ,ขับไล่รัฐบาล หรือบุคคลในรัฐบาล,ปฏิรูปสถาบันกษัตริย์",,,,
9.2,#ม็อบ18ตุลา : ชลบุรี,7,1,2,18-10-2563,"สี่แยกปากร่วม บ่อวิน 
จ.ชลบุรี","เรียกร้องแก้ไขรัฐธรรมนูญ,ขับไล่รัฐบาล หรือบุคคลในรัฐบาล",,,,
9.21,#ม็อบ18ตุลา : สุพรรณจะไม่ทน,7,1,2,18-10-2563,"หอคอยบรรหาร-แจ่มใส 
จ.สุพรรณบุรี","เรียกร้องแก้ไขรัฐธรรมนูญ,ขับไล่รัฐบาล หรือบุคคลในรัฐบาล,ปฏิรูปสถาบันกษัตริย์ และเรียกร้องให้พรรคชาติพัฒนาออกจากพรรคร่วมรัฐบาล",,,,
9.22,#ม็อบ18ตุลา : ฟิวเจอร์รังสิต,7,1,2,18-10-2563,"ฟิวเจอร์พาร์ค รังสิต 
จ.ปทุมธานี",เพื่อเรียกร้อง 4 ข้อ ,"ข้อเรียกร้องดังนี้
1. ให้นายกฯ ลาออก
2. ไม่เอาการรัฐประหาร
3. ไม่เอารัฐบาลแห่งชาติ
4. ปฏิรูปสถาบันกษัตริย์",,,
9,(เหลือเช็คข้อมูล),7,1,2,18-10-2563,,"https://www.dailynews.co.th/politics/801770

https://ch3thailandnews.bectero.com/news/213666",,,,
10.1,การชุมนุม Flashmob #19ตุลา,7,1,2,19-10-2563,หน้าเรือนจำพิเศษกรุงเทพฯ,https://www.dailynews.co.th/politics/802039,,,,
10.2,การชุมนุม Flashmob #19ตุลา,7,1,2,19-10-2563,แยกเกษตร,https://www.dailynews.co.th/politics/802039,,,,
10.3,การชุมนุม Flashmob #19ตุลา,7,1,2,19-10-2563,นนทบุรี MRT กระทรวงสาธารณสุข,https://www.dailynews.co.th/politics/802039,,,,
10.4,การชุมนุม Flashmob #19ตุลา,7,1,2,19-10-2563,นครปฐม พระราชวังสนามจันทร์,https://www.dailynews.co.th/politics/802039,,,,
10.5,"การชุมนุม Flashmob #19ตุลา

#ม็อบ19ตุลา : ม็อบก้านกล้วย 

โดยแนวร่วมนักเรียนเชียงใหม่เพื่อประชาธิปไตย",7,1,1,19-10-2563,"อนุสาวรีย์สามกษัตริย์
จ.เชียงใหม่ ",https://www.dailynews.co.th/politics/802039,,,,
10.6,การชุมนุม Flashmob #19ตุลา,7,1,2,19-10-2563,บุรีรัมย์ ราชภัฏบุรีรัมย์,https://www.dailynews.co.th/politics/802039,,,,
10.7,การชุมนุม Flashmob #19ตุลา,7,1,2,19-10-2563,มหาสารคาม สวนสุขภาพเทศบาลเมือง,https://www.dailynews.co.th/politics/802039,,,,
10.8,การชุมนุม Flashmob #19ตุลา,7,1,2,19-10-2563,ขอนแก่น หน้าคอมเพล็กซ์,https://www.dailynews.co.th/politics/802039,,,,
10.9,"การชุมนุม Flashmob #19ตุลา

#ม็อบ19ตุลา : อุบลแสดงพลัง",7,1,2,19-10-2563,"สวนสาธารณะห้วยม่วง
จ.อุบลราชธานี","https://www.dailynews.co.th/politics/802039

แสดงพลังต่อต้านเผด็จการ",,,,
11.1,การชุมนุม Flashmob #20ตุลา,7,1,2,20-10-2563,รถไฟฟ้าทุกสถานี ,,,,,
11.2,การชุมนุม Flashmob #20ตุลา,7,1,2,20-10-2563,หน้าห้างเซ็นทรัลปิ่นเกล้า,,,,,
11.3,การชุมนุม Flashmob #20ตุลา,7,1,2,20-10-2563,หน้าห้างเดอะมอลล์บางแค,,,,,
12,เครือข่ายนักวิชาการเพื่อสิทธิพลเมืองเคลื่อนขบวนไปยื่นหนังสือที่ทำเนียบรัฐบาล,7,1,2,20-10-2563,เดินเท้าไปยังทำเนียบรัฐบาล,,"1. ประณามการใช้กำลังสลายการชุมนุมในวันที่ 16 ตุลาคม 2563
 
2. รัฐบาลยุติการบังคับการใช้กฎหมายเป็นเครื่องมือในการขจัดผู้เห็นต่าง ต้องยกเลิกการตั้งข้อหาและต้องปล่อยตัวผู้ชุมนุมทุกคนอย่างไม่เงื่อนไข เพราะชุมนุมได้ใช้สิทธิตามที่ได้รับการรับรองไว้ในรัฐธรรมนูญ

3. รัฐบาลต้องรับข้อเสนอทั้ง 3 ข้อ (1 นายกรัฐมนตรีลาออก 2แก้ไขรัฐธรรมนูญ 3ปฏิรูปสถาบันกษัตริย์ให้สอดคล้องกับประชาธิปไตย )  ของผู้ชุมนุมไป พิจารณาอย่างจริงจัง โดยจัดตั้งคณะกรรมการศึกษาและให้ข้อเสนอแนะที่มาจากตัวแทนฝ่ายต่างๆ  ผู้จัดตั้งเงื่อนไขว่าหากข้อเรียกร้องที่เสนอไปไม่ได้รับการตอบสนองจากรัฐบาลภายในระยะเวลา 7 วัน มาตรการถัดไปจะถูกยกระดับ เช่น การนัดกันหยุดสอนของอาจารย์มหาวิทยาลัย เป็นต้น ซึ่งมีปลัดสำนักนายกรัฐมนตรีเป็นตัวแทนนำยื่นนายกรัฐมนตรี",,,
13.1,"การชุมนุม Flashmob #21ตุลา

#ม็อบ21ตุลา : เคลื่อนขบวนจากอนุสาวรีย์ชัยไปทำเนียบรัฐบาล",7,1,2,21-10-2563,อนุสาวรีย์ชัยสมรภูมิ -> ทำเนียบรัฐบาล,"https://www.dailynews.co.th/politics/802462

เรียกร้องแก้ไขรัฐธรรมนูญ,ขับไล่รัฐบาล หรือบุคคลในรัฐบาล,ประยุทธ์ลาออก, เปิดสภาสมัยวิสามัญรับร่างรัฐธรรมนูญฉบับประชาชน, ปฏิรูปสถาบันกษัตริย์",,,,
13.2,การชุมนุม Flashmob #21ตุลา,7,1,2,21-10-2563,มหาวิทยาลัยรามคำแหง,https://www.dailynews.co.th/politics/802462,,,,
13.3,#ม็อบ21ตุลา : ยืนชมวิวสะพานเสรีประชาธิปไตย,7,1,2,21-10-2563,"สะพานเสรีประชาธิปไตย 2497 
จ.อุบลราชธานี",,,,,
13.4,พี่น้องชาวตราดออกมาแสดงพลังประชาธิปไตย,7,1,2,21-10-2563,"ศาลา ๑๐๐ ปี ตราดรำลึก 
จ.ตราด","เรียกร้องแก้ไขรัฐธรรมนูญ,ขับไล่รัฐบาล หรือบุคคลในรัฐบาล",,,,
