event_no,event_name,pre_event,reaction_type,player,date,location,cause,proposal,key_topic,hashtag,tag
95,"กิจกรรมถือป้าย “ไม่เอาเผด็จการ 
ต้องการประชาธิปไตย”",28,1,1,29-02-2563,"อนุสาวรีย์ท้าวสุรนารี 
จ.นครราชสีมา","ไม่เอาเผด็จการ ต้องการประชาธิปไตย
https://today.line.me/th/v2/article/%E0%B8%99+%E0%B8%A8+%E0%B8%A1%E0%B8%AB%E0%B8%B2+%E0%B8%A5%E0%B8%B1%E0%B8%A2%E0%B8%94%E0%B8%B1%E0%B8%87%E0%B9%82%E0%B8%84%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%96%E0%B8%B7%E0%B8%AD%E0%B8%9B%E0%B9%89%E0%B8%B2%E0%B8%A2+%E0%B9%84%E0%B8%A1%E0%B9%88%E0%B9%80%E0%B8%AD%E0%B8%B2%E0%B9%80%E0%B8%9C%E0%B8%94%E0%B9%87%E0%B8%88%E0%B8%81%E0%B8%B2%E0%B8%A3+%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%87%E0%B8%A5%E0%B8%B2%E0%B8%99%E0%B8%A2%E0%B9%88%E0%B8%B2%E0%B9%82%E0%B8%A1-Wwnllg",-,1,-,-
96,#เสลาออกจากกะลา,28,1,1,01-03-2563,"มหาวิทยาลัยนเรศวร 
จ.พิษณุโลก",วิจารณ์การทำงานของรัฐบาลและศาลรัฐธรรมนูญตัดสินยุบพรรคอนาคตใหม่,-,1,-,-
97,#เด็กระยองไม่สลิ่มฮิ,28,1,1,01-03-2563,"หอนาฬิกา เทศบันเทิงพลาซ่า 
จ.ระยอง",แสดงจุดยืนต่อต้านอำนาจเผด็จการและการคุกคามประชาชนทุกรูปแบบ,"1. เพื่อแสดงจุดยืนต่อต้าน อยุติธรรมในสังคมไทย 
2. ต่อต้านอำนาจเผด็จการและการคุกคามประชาชนทุกรูปแบบ 
3. เพื่อเรียกร้องความเป็นธรรมในการบังคับใช้กฏหมายอย่างเท่าเทียม
",1,-,-
98,#ประชาชนไล่หัวหน้าio,28,1,2,01-03-2563,"สี่แยกราชประสงค์ 
กรุงเทพมหานคร",-,เรียกร้องให้นายกรัฐมนตรีลาออก,2, #ประชาชนไล่หัวหน้าio,-
99,#เด็กตรังไม่ชังชาติแต่ชังเผด็จการ,28,1,1,01-03-2563,"สวนสาธารณะสวนทับเที่ยง 
จ.ตรัง",-,เพื่อเรียกร้องประชาธิปไตย,2,#เด็กตรังไม่ชังชาติแต่ชังเผด็จการ,-
100,"แฟลชม็อบ ""ใครฆ่าประชาธิปไตย""",28,1,1,02-03-2563,"มหาวิทยาลัยราชภัฏพระนครศรีอยุธยา 
จ.พระนครศรีอยุธยา",วิจารณ์การทำงานและไล่รัฐบาล,-,2,-,-
101,#มรย_ขออยู่เคียงข้างประชาชน,28,1,1,02-03-2563,"มหาวิทยาลัยราชภัฎยะลา 
จ.ยะลา",แสดงจุดยืนไม่เอาเผด็จการ,,2,-,-
102,#สิงห์สี่แควอยากงัดกับสลิ่ม,28,1,1,02-03-2563,"มหาวิทยาลัยราชภัฏนครสวรรค์
จ.นครสวรรค์",เรียกร้องประชาธิปไตยกลับคืนมา,เรียกร้องประชาธิปไตยกลับคืนมา,2,#สิงห์สี่แควอยากงัดกับสลิ่ม,-
103,#มอดังย่านบางนาโบกมือลาของหวานสามสี,28,1,1,02-03-2563,"มหาวิทยาลัยหัวเฉียวเฉลิมพระเกียรติ 
จ.สมุทรปราการ",-,-,2,"#มอดังย่านบางนาโบกมือลา
ของหวานสามสี",-
104,เต้น ไล่ (ไข) มัน! #มอเวียงบัวไม่กลัวสลิ่ม,28,1,1,02-03-2563,"มหาวิทยาลัยราชภัฏเชียงใหม่ 
จ.เชียงใหม่",-,-,2,#มอเวียงบัวไม่กลัวสลิ่ม,-
105,#นิสิตหนึ่งเดียว_ณ_แดนใต้_อยากไฝว้เผด็จการ,28,1,1,04-03-2563,"มหาวิทยาลัยทักษิณ 
จ.สงขลา",-,-,2,"#นิสิตหนึ่งเดียว_ณ_แดนใต้_
อยากไฝว้เผด็จการ",-
106,#ชาวประเวศเนรเทศเผด็จการ,28,1,1,04-03-2563,"มหาวิทยาลัยรามคำแหง วิทยาเขตบางนา 
กรุงเทพมหานคร",-,-,2,#ชาวประเวศเนรเทศเผด็จการ,-
107,#ลูกช้างไม่ทนขอชนเผด็จการ,28,1,2,06-03-2563,"ศาลาธรรม มหาวิทยาลัยเชียงใหม่ 
จ.เชียงใหม่",-,"-เรียกร้องให้นายกรัฐมนตรีลาออก
-ให้ยุบสภา
-ร่างรัฐธรรมนูญฉบับใหม่
-การกระจายอำนาจสู่ท้องถิ่น
-เรียกร้องให้ทางมหาวิทยาลัยคุ้มครองเสรีภาพในการแสดงออกของนักศึกษา","2,3",#ลูกช้างไม่ทนขอชนเผด็จการ,-
108,#พอกันทีมอย่านอินใจมีจะไม่ทน,28,1,1,06-03-2563,"มหาวิทยาลัยราชภัฎอุตรดิตถ์ 
จ.อุตรดิตถ์",-,-,2,#พอกันทีมอย่านอินใจมีจะไม่ทน,-
109,ปิดเทอมใหญ่ ซ้อมไล่เผด็จการ music fest,28,1,2,10-03-2563,"มหาวิทยาลัยรามคำแหง
กรุงเทพมหานคร",-เรียกร้องให้นายกรัฐมนตรีลาออก,"-เรียกร้องให้นายกรัฐมนตรีลาออก
",2,-,-
110,#ภูเขียวจะไม่ทน,28,1,2,13-03-2563,"อนุสาวรีย์ประชาธิปไตยภูเขียว 
จ.ชัยภูมิ",เรียกร้องให้รัฐบาลยุบสภาและร่างรัฐธรรมนูญใหม่,เรียกร้องให้รัฐบาลยุบสภาและร่างรัฐธรรมนูญใหม่,"2,3",#ภูเขียวจะไม่ทน,-
111,"เดินเท้าไปรัฐสภา ยื่นข้อเสนอในการ
แก้ไขรัฐธรรมนูญ 2560",28,1,2,13-03-2563,"สถานีรถไฟฟ้า MRT กำแพงเพชร 
ทางออกที่ 1 กรุงเทพมหานคร ->  รัฐสภา เกียกกาย กรุงเทพมหานคร",แสดงจุดยืนและเรียกร้องให้มีการแก้ไขรัฐธรรมนูญ 2560,แสดงจุดยืนและเรียกร้องให้มีการแก้ไขรัฐธรรมนูญ 2560,3,-,-
112,"การปราศรัยของนักศึกษารัฐศาสตร์ 
มหาวิทยาลัยอุบลราชธานี",28,1,1,13-03-2563,"มหาวิทยาลัยอุบลราชธานี 
จ.อุบลราชธานี",เรียกร้องให้ร่างรัฐธรรมนูญใหม่,เรียกร้องให้ร่างรัฐธรรมนูญใหม่,3,-,-
113,#ขอนแก่นพอกันที,28,1,1,14-03-2563,"มหาวิทยาลัยขอนแก่น 
จ.ขอนแก่น",-,"ข้อเรียกร้องสามข้อ 
หนึ่ง ร่างรัฐธรรมนูญใหม่โดยต้องมีที่มาจากประชาชน
สอง ยุบสภาและให้มีการเลือกตั้งใหม่ภายใต้กติกาที่เป็นธรรม 
สาม ยุติบทบาทของวุฒิสภา รวมไปถึงการยุติบทบาทขององค์กรอิสระที่สรรหาแต่งตั้งโดยคสช.",3,#ขอนแก่นพอกันที,-
,,,,,,,,,,,
**,บันทึกข้อมูลการชุมนุมของนักเรียน นิสิต นักศึกษาและประชาชน ตั้งแต่วันที่ 22 กุมภาพันธ์ 2563,,,,,,https://freedom.ilaw.or.th/node/801,,,,
