event_no,event_name,pre_event,reaction_type,player,date,location,cause,proposal,key_topic,hashtag,tag
11,การชุมนุมของคณะราษฎร (ต่อเนื่อง) (ถูกสลายการชุมนุม),5,1,2,15-10-2563,"หน้าทำเนียบรัฐบาล
กรุงเทพมหานคร",(ต่อเนื่องจาก 14 ตุลาคม 2563),,"1,2,3,4",,
12,การบุกจับแกนนำจากการชุมนุมของ #คณะราษฎร เมื่อวันที่ 14 ต.ค. 63,5,2,4,15-10-2563,"หน้าทำเนียบรัฐบาล
กรุงเทพมหานคร",https://tlhr2014.com/?p=22156,,,,
13,การชุมนุม #15ตุลาไปราชประสงค์,5,1,2,15-10-2563,"แยกราชประสงค์
กรุงเทพมหานคร","- ขับไล่รัฐบาล หรือบุคคลในรัฐบาล 

- เรียกร้องให้ปล่อยตัวผู้ชุมนุมที่ถูกจับกุมจากการสลายการชุมนุมและแกนนำที่ถูกจับตัวไป","- เรียกร้องให้ปล่อยตัวแกนนำคณะราษฎรและแนวร่วมที่ถูกจับตัวไป ระหว่างการชุมนุมตั้งแต่ 13-15 ต.ค. และให้เปิดเผยสถานที่ควบคุมตัวผู้ต้องหาทั้งหมด

- เรียกร้องให้ยกเลิกการประกาศใช้ พ.ร.ก.ฉุกเฉิน

- ย้ำจุดยืน ไม่เอานายกฯ พระราชทาน และรัฐบาลแห่งชาติ

- ย้ำจุดยืน ไม่เอารัฐประหาร

(ข้อเรียกร้องเรื่องการปฏิรูปสถาบันพระมหากษัตริย์ ถูกพูดถึงบ้างประปราย แต่ไม่ใช่สาระหลักที่มีการหยิบยกขึ้นมาปราศรัย)

(https://www.bbc.com/thai/thailand-54567169)","1,4",,
14,#ม็อบ15ตุลา : ประชาคมมอชอ,5,1,1,15-10-2563,"มหาวิทยาลัยเชียงใหม่ 
จ.เชียงใหม่","ให้มหาวิทยาลัยแสดงจุดยืนเกี่ยวกับนักศึกษาที่ถูกจับ,รัฐหยุดคุกคามประชาชน และยกเลิกประกาศสถานการณ์ฉุกเฉินร้ายแรงทันทีและปล่อยเพื่อนของเรา",,1,,
15,การชุมนุม #16ตุลาไปแยกปทุมวัน (ถูกสลายการชุมนุม),5,1,2,16-10-2563,"แยกปทุมวัน
กรุงเทพมหานคร","- เรียกร้องให้พลเอกประยุทธ์ต้องลาออก

- เปิดวิสามัญรับร่างแก้ไขเพิ่มเติมรัฐธรรมนูญจากประชาชน

- ปฏิรูปสถาบันกษัตริย์ 

- เรียกร้องให้เจ้าหน้าที่ปล่อยแกนนำที่จับไปตั้งแต่วันที่ 13-15 ตุลาคม 63","1. เรียกร้องให้พลเอกประยุทธ์และพรรคพวกต้องลาออก

2. เปิดวิสามัญรับร่างแก้ไขเพิ่มเติมรัฐธรรมนูญจากประชาชน

3. ปฏิรูปสถาบันกษัตริย์ให้อยู่ภายใต้รัฐธรรมนูญตามระบอบประชาธิปไตย

และอีกหนึ่งข้อใหม่ = เรียกร้องให้เจ้าหน้าที่ปล่อยแกนนำและผู้ชุมนุมที่ถูกจับไปตั้งแต่วันที่ 13-15 ตุลาคม 63","1,2,3,4",,
16,#ม็อบ16ตุลา : #ประณามการกระทำของรัฐ,5,1,1,16-10-2563,"คณะนิติศาสตร์ มหาวิทยาลัยอุบลราชธานี 
จ.อุบลราชธานี",ประณามการใช้ความรุนแรงในการสลายการชุมนุมของรัฐ ข้อเสนอ ทุกมหาวิทยาลัยออกมาปกป้องการแสดงออกของนักศึกษาและจัดตั้งกองทุนประกันตัวนักศึกษา สื่อสารเพื่อให้ยกเลิกการประกาศ พรก.ฉุกเฉิน และเรียกร้องให้นายกรัฐมนตรีลาออกโดยเร็ว,,"1,2",,
17,"การชุมนุม #17ตุลา

#ม็อบ17ตุลา : ห้าแยกลาดพร้าว",15,1,2,17-10-2563,"ห้าแยกลาดพร้าว 
กรุงเทพมหานคร","พลเอกประยุทธ์ จันทร์โอชา นายกรัฐมนตรีต้องลาออก, แก้ไขรัฐธรรมนูญ, ปฏิรูปสถาบันกษัตริย์และปล่อยตัวนักกิจกรรมที่ถูกจับกุมระหว่างวันที่ 13-15 ตุลาคม 2563",,"1,2,3,4",,
18,"การชุมนุม #17ตุลา

#ม็อบ17ตุลา : อุดมสุข บางนา",15,1,2,17-10-2563,"BTS อุดมสุข 
กรุงเทพมหานคร","พลเอกประยุทธ์ จันทร์โอชา นายกรัฐมนตรีต้องลาออก, แก้ไขรัฐธรรมนูญ, ปฏิรูปสถาบันกษัตริย์และปล่อยตัวนักกิจกรรมที่ถูกจับกุมระหว่างวันที่ 13-15 ตุลาคม 2563",,"1,2,3,4",,
19,"การชุมนุม #17ตุลา

#ม็อบ17ตุลา : วงเวียนใหญ่",15,1,2,17-10-2563,"วงเวียนใหญ่
กรุงเทพมหานคร","ตอบโต้การกระทำของรัฐบาลที่ สลายการชุมนุม ขับไล่รัฐบาล หรือบุคคลในรัฐบาล

พลเอกประยุทธ์ จันทร์โอชา นายกรัฐมนตรีต้องลาออก, แก้ไขรัฐธรรมนูญ, ปฏิรูปสถาบันกษัตริย์และปล่อยตัวนักกิจกรรมที่ถูกจับกุมระหว่างวันที่ 13-15 ตุลาคม 2563",,"1,2,3,4",,
20,#ม็อบ17ตุลา : สามย่านมิตรทาวน์ โดยกลุ่ม Spring Movement,15,1,1,17-10-2563,"สามย่านมิตรทาวน์ Samyan MitrTown 
กรุงเทพมหานคร","พลเอกประยุทธ์ จันทร์โอชา นายกรัฐมนตรีต้องลาออก, แก้ไขรัฐธรรมนูญ, ปฏิรูปสถาบันกษัตริย์และปล่อยตัวนักกิจกรรมที่ถูกจับกุมระหว่างวันที่ 13-15 ตุลาคม 2563",,"1,2,3,4",,
21,#ม็อบ17ตุลา : มข.จะไม่ทน โดย กลุ่มขอนแก่นพอกันที  กลุ่มภาคีนักเรียนKKC กลุ่มดาวดิน กลุ่มวาทีวิชาการและการปฏิวัติ กลุ่มคณะราษฎรขอนแก่น,15,1,2,17-10-2563,"อาคารคอมเพล็กซ์ มหาวิทยาลัยขอนแก่น 
จ.ขอนแก่น","ประณามเหตุสลายการชุมนุม,เรียกร้องให้ปล่อยตัวผู้ถูกจับกุม,สนับสนุนข้อเรียกร้อง 3 ข้อ,เรียนร้องให้มหาวิทยาลัยช่วยเหลือนักศึกษาที่ถูกจับกุม","ประเด็นของการปราศรัย หลัก อยู่ 4 เรื่อง คือ 
1. ประณามเหตุสลายการชุมชนที่แยกปทุมวัน 
2.เรียกร้องให้ปล่อยตัวผู้ถูกจับกุมคุมขังและดำเดินคดีทั้งหมด 
3.สนับสนุนข้อเรียกร้องทั้ง 3 ข้อ คือ ประยุทธ์ลาออก,ร่างรัฐธรรมนูญใหม่,ปฎิรูปสถาบันกษัตริย์
4.เรียกร้องให้มหาวิทยาลัยให้ความช่วยเหลือต่อกรณีที่มีนักศึกษาถูดควบคุมตัว","1,2,3,4",,
22,#ม็อบ17ตุลา : อุบลบ่ทนแล้ว,15,1,2,17-10-2563,"ศาลหลักเมือง จังหวัดอุบลราชธานี 
จ.อุบลราชธานี",แสดงจุดยืนไม่เห็นด้วยกับการใช้ความรุนแรงสลายการชุมนุมเมื่อวันที่ 16 ต.ค. ที่แยกปทุมวัน ,,1,,
23,การชุมนุม #17ตุลา โดยกลุ่มเครือข่ายคนรุ่นใหม่นนทบุรี และ นนทบุรีปลดแอก,15,1,2,17-10-2563,"สถานีรถไฟฟ้า MRT เชิงสะพานพระนั่งเกล้า
กรุงเทพมหานคร","รวมตัวกันชู 3 นิ้ว ขับไล่ พล.อ.ประยุทธ์ จันทร์โอชา นายกรัฐมนตรี เพื่อให้ลาออกจากตำแหน่ง พร้อมปราศรัยประณามการสั่งการให้มีการสลายการชุมนุมที่แยกปทุมวัน

https://www.dailynews.co.th/regional/801620",เรียกร้องให้ปล่อยตัวประชาชนที่ถูกจับกุมตัวอยู่ในขณะนี้,1,,
24,กลุ่มนักศึกษารวมตัวร่วมทำกิจกรรมเชิงสัญลักษณ์,15,1,1,17-10-2563,"ลานพ่อขุน มหาวิทยาลัยรามคำแหง
กรุงเทพมหานคร","เพื่อแสดงสัญลักษณ์ เรียกร้องให้รัฐบาลลาออก และแก้ไขรัฐธรรมนูญ และสวมใส่ชุดสีดำเป็นการไว้ทุกข์ให้กับรัฐบาลที่สลายการชุมนุมของกลุ่มคณะราษฎร์เมื่อวานที่ 16 ต.ค. บริเวณแยกปทุมวัน

https://www.naewna.com/politic/525726",,"1,2,3",,
25,การชุมนุม #17ตุลา,15,1,2,17-10-2563,"หน้าคณะนิติศาสตร์ ม.อ.หาดใหญ่
จ.สงขลา","พูดถึงและแสดงจุดยืนต่อความรุนแรงที่เกิดขึ้นจากเหตุการณ์ม็อบที่กรุงเทพฯ ที่ถูกเจ้าหน้าที่ใช้รถน้ำแรงดันสูงฉีดเพื่อให้สลายการชุมนุม

https://www.hatyaitoday.com/hatyai-rally/","1.ขอให้ยุติการใช้ความรุนแรงโดยอำนาจรัฐบาลที่กระทำเกินกว่าเหตุในการสลายการชุมนุมของนักเรียน นักศึกษาและประชาชน บริเวณสี่แยกปทุมวัน ซึ่งชุมนุมโดยสันติวิธี และใช้เสรีภาพของประชาชน ในการแสดงความคิดเห็นภายใต้กฎหมายรัฐธรรมนูญแห่งราชาอาณาจักรไทย

2.ขอเรียกร้องให้รัฐบาลรับฟังและพิจารณาข้อเรียกร้องของ นักเรียน นักศึกษา และประชาชน และหาทางออกโดยสันติวิธี เพื่อให้ผ่านพ้นวิกฤติทางการเมือง และวิกฤติเศรษฐกิจ

3.ขอให้รัฐบาลเป็นผู้ปกป้อง คุ้มครองและไม่ละเมิด สิทธิและเสรีภาพของประชาชน ตามรัฐธรรมนูณทุกกรณี","1,2,3,4",,
25,"การชุมนุม #17ตุลา

ม็อบเยาวชน ยึดหาดพัทยา ชุมนุมขับไล่ลุงตู่",15,1,1,17-10-2563,"บริเวณท่าเทียบเรือท่องเที่ยวพัทยาใต้ (แหลมบาลีฮาย) เมืองพัทยา 
จ.ชลบุรี ","เรียกร้องเรื่องสิทธิ ความเท่าเทียม พร้อมประกาศขับไล่รัฐบาลเผด็จการ 

https://siamrath.co.th/n/190397",,"1,2",,
27,"การชุมนุม #17ตุลา

แฟลชม็อบนครปฐม",15,1,2,17-10-2563,"ถนนเลียบคลองเจดีย์บูชา (ถนนคนเดิน) ข้างวัดพระงาม  อำเภอเมือง 
จังหวัดนครปฐม",https://www.banmuang.co.th/news/region/209574,,,,
28,การชุมนุม #17ตุลา โดยกลุ่มนักศึกษาผู้สนับสนุนประชาธิปไตยมหาวิทยาลัยแม่ฟ้าหลวง,15,1,1,17-10-2563,"บริเวณลานดาว มหาวิทยาลัยแม่ฟ้าหลวง 
จ.เชียงราย","ปราศรัยแสดงจุดยืนและมีการจุดเทียนแสดงสัญลักษณ์ พร้อมออกแถลงการณ์ไม่เห็นด้วยกับการสลายการชุมนุม

https://www.one31.net/news/detail/25378","ข้อเรียกร้อง 3 ข้อให้นายกรัฐมนตรีพิจารณา

1.ปล่อยตัวแกนนำและผู้ชุมนุมที่ถูกจับกุมทั้งหมด

2.ห้ามไม่ให้มีการทำรัฐประหาร

3.หยุดคุกคามประชาชน",1,,
29,การชุมนุม #17ตุลา “ฉันจิบ่ทน”,15,1,2,17-10-2563,"ลานศิลปวัฒนธรรมหรือลานหมอลำ บริเวณประตู 4 มหาวิทยาลัยเทคโนโลยีสุรนารี (มทส.) 
จ.นครราชสีมา","แสดงออกเชิงสัญลักษณ์และประณามความรุนแรงของเจ้าหน้าที่ที่กระทำต่อผู้ชุมนุม

https://siamrath.co.th/n/190383",เรียกร้องให้นายกรัฐมนตรีลาออก รวมทั้งต้องปล่อยตัวมวลชนที่ถูกจับโดยไม่มีเงื่อนไข,"1,2",,
30,"การชุมนุม #17ตุลา
",15,1,2,17-10-2563,"บริเวณหน้าศาลากลางจังหวัดกาฬสินธุ์ (หลังเก่า)
จ.กาฬสินธุ์ ","โจมตีพลเอกประยุทธ์ จันทร์โอชา นายกรัฐมนตรี โดยเฉพาะด้านเศรษฐกิจ

https://siamrath.co.th/n/190378",หยุดทำร้ายประชาชน และ ปล่อยตัวเพื่อนเรา,1,,
31,กิจกรรมกฐินโบว์ขาวต้านเผด็จการ โดย กลุ่มเสรีประชาธิปไตยเยาวชนอุดร กลุ่มเยาวชนปลดแอกอุดรธานี และประชาชน,15,1,2,17-10-2563,"ลานน้ำพุ สนามทุ่งศรีเมืองอุดรธานี 
จ.อุดรธานี","ร่วมกันแสดงออกถึงความไม่พอใจ ในการสลายการชุมนุมของกลุ่มผู้ชุมนุมที่แยกปทุมวัน กรุงเทพมหานคร , เชิญชวนให้ประชาชนมาร่วมขับไล่รัฐบาล , เพื่อแสดงสัญลักษณ์ในการเรียกร้องให้เลิกใช้ความรุนแรงกับผู้ชุมนุม 

https://thainews.prd.go.th/th/news/detail/TCATG201018201348120",,1,,
32,การชุมนุม #17ตุลา โดยกลุ่มเยาวชนปลดแอก กลุ่มสหพันธ์นักเรียนนครสวรรค์,15,1,1,17-10-2563,"บริเวณลานอเนกประสงค์บ่อบำบัดน้ำเสีย เทศบาลนครนครสวรรค์ ถนนริมเขื่อน ตำบลปากน้ำโพ อำเภอเมือง
จ.นครสวรรค์","เพื่อประท้วงรัฐบาล 

https://www.thairath.co.th/news/local/north/1955376",ข้อเรียกร้อง 3 ข้อ ได้แก่ ให้รัฐบาลยุบสภา หยุดคุกคามประชาชน และร่างรัฐธรรมนูญใหม่,"1,2,3",,
33,การชุมนุม #17ตุลา โดยกลุ่มอุตรดิตถ์ไม่เอาเผด็จการ,15,1,1,17-10-2563,"ลานอเนกประสงค์ริมน่าน อ.เมือง
จ.อุตรดิตถ์","เพื่อส่งใจไปยังกรุงเทพฯ โดยมีการชูสามนิ้ว ไม่เห็นด้วยกับการสลายการชุมนุมที่แยกปทุมวัน มีการปราศรัยประณามการใช้ความรุนแรงกับผู้ชุมนุม

https://www.thairath.co.th/news/local/north/1955376",,1,,
34,"กิจกรรม ""มพ.บ่าเอาคิง"" โดยกลุ่มนิสิตมหาวิทยาลัยพะเยา",15,1,1,17-10-2563,"ลานสมเด็จพระนเรศวรมหาราช หน้ามหาวิทยาลัยพะเยา
จ.พะเยา","แสดงจุดยืนว่าจะอยู่เคียงข้างประชาชน และประณามการใช้ความรุนแรงในการสลายการชุมนุมและการคุกคามประชาชนผู้เป็นเจ้าของประเทศ ให้กำลังใจกับผู้ที่กำลังชุมนุมในส่วนกลางให้ประสบความสำเร็จ

https://www.nationtv.tv/main/content/378801396",เรียกร้องให้ผู้มีส่วนเกี่ยวข้องยุติการใช้ความรุนแรง อันเป็นการกระทำโดยการใช้กฎหมายในการกำจัดสิทธิและเสรีภาพขอประชาชน,1,,
35,การชุมนุม #17ตุลา โดยกลุ่มเยาวชนใน อ.เชียงคำ,15,1,1,17-10-2563,"สวนสุขภาพ 100 ปี เชียงคำ อ.เชียงคำ 
จ.พะเยา","แสดงจุดยืนคัดค้านการใช้ความรุนแรงในการปราบปรามและคุกคามประชาชน จากกรณีการสลายชุมนุมกลุ่มนักเรียน นักศึกษาในช่วงค่ำคืนวันที่ 16 ต.ค.

https://www.thairath.co.th/news/local/north/1955376",,,,
36,การชุมนุม #17ตุลา,15,1,2,17-10-2563,"หน้าโรงเรียนพิริยาลัย 
จังหวัดแพร่","แสดงพลังชุมนุมทางการเมือง

https://www.thairath.co.th/news/local/north/1955376",เรียกร้องให้ พล.อ.ประยุทธ์ จันทร์โอชา นายกรัฐมนตรีและ รมว.กลาโหม ลาออกไป และหยุดทำร้ายประชาชนที่มาชุมนุมแสดงความเห็นต่าง,"1,2",,
37,การชุมนุม #17ตุลา โดยกลุ่มนักศึกษา มช. และประชาชน ,15,1,2,17-10-2563,"ลานสนามกีฬาภายในมหาวิทยาลัยเชียงใหม่
จ.เชียงใหม่","แสดงความคิดเห็นและแสดงออกเชิงสัญลักษณ์เกี่ยวกับการเมือง

https://www.thairath.co.th/news/local/north/1955376",เรียกร้องให้รัฐบาล ยุติการใช้ความรุนแรงและหยุดคุกคามประชาชน รวมทั้งได้มีการเรียกร้องให้ปล่อยตัว 2 แกนนำ ที่ถูกควบคุมตัวมาดำเนินคดีที่จังหวัดเชียงใหม่,"1,2",,
38,การชุมนุม #17ตุลา,15,1,2,17-10-2563,"ณ สวนใหม่ บริเวณลานสเก็ตบอร์ด
จังหวัดสุรินทร์",https://www.facebook.com/watch/?v=458206278472521,,,,
39,การชุมนุม #17ตุลา,15,1,2,17-10-2563,"บริเวณวงเวียนพะยูน หน้าสวนทับเที่ยง
จ.ตรัง","พูดถึงถึงประเด็นการสลายการชุมชุม ที่ กทม. เมื่อคืนวันที่ 16 ตุลาคม 2563 ที่ผ่านมา ว่าไม่ถูกต้อง ผิดหลักสากล

https://www.77kaoded.com/news/mydear/2019066",เรียกร้องให้ พล.อ.ประยุทธ์ จันทร์โอชา นายกรัฐมนตรี หยุดคุกคามประชาชน,1,,
40,#ม็อบ18ตุลา: 18ตุลาไปอนุสาวรีย์ชัย,15,1,2,18-10-2563,"อนุสาวรีย์ชัยสมรภูมิ
กรุงเทพมหานคร",เรียกร้องและกดดันให้เจ้าหน้าที่ปล่อยตัวแกนนำที่ถูกจับกุมไปดำเนินคดีทั้งหมด และยืนยันข้อเรียกร้อง 3 ข้อ 1. นายกลาออก 2. แก้รัฐธรรมนูญ 3. ปฏิรูปสถาบันกษัตริย์,,"1,2,3,4",,
41,#ม็อบ18ตุลา : แยกอโศก,15,1,2,18-10-2563,"แยกอโศก
กรุงเทพมหานคร",เรียกร้องตามข้อเรียกร้อง 3 ข้อ นายกลาออก แก้ไขรัฐธรรมนูญและปฏรูปสถาบันกษัตริย์ รวมทั้งประณามการใช้ความรุนแรงของเจ้าหน้าที่ที่สลายการชุมนุมเมื่อวันที่ 16 ตุลาคม แยกปทุมวัน และเรียกร้องให้ปล่อยตัวผู้ชุมนุมทุกคนที่ถูกจับ ,,"1,2,3,4",,
42,"#ม็อบ18ตุลา : พระประแดง
",15,1,2,18-10-2563,"สามแยกประแดง 
จ.สมุทรปราการ","เรียกร้องแก้ไขรัฐธรรมนูญ,ขับไล่รัฐบาล หรือบุคคลในรัฐบาล",,"1,2,3",,
43,#ม็อบ18ตุลา : ม.นเรศวร โดยกลุ่ม Nu-Movement,15,1,1,18-10-2563,"ลานอเนกประสงค์ (ลานแอโรบิค) มหาวิทยาลัยนเรศวร
จ.พิษณุโลก",,,,,
44,#ม็อบ18ตุลา : #18ตุลาไปม็อบลานจันท์,15,1,2,18-10-2563,"ลานกีฬาคนรักจันท์ 
จ.จันทบุรี","ขับไล่รัฐบาล หรือบุคคลในรัฐบาล,เรียกร้องให้ปล่อยตัวนักกิจกรรม",,1,,
45,#ม็อบ18ตุลา : ฉะเชิงเทรา,15,1,2,18-10-2563,"ศาลากลาง 
จ.ฉะเชิงเทรา","เรียกร้องแก้ไขรัฐธรรมนูญ,ขับไล่รัฐบาล หรือบุคคลในรัฐบาล,ปฏิรูปสถาบันกษัตริย์",,"1,2,3,4",,
46,#ม็อบ18ตุลา : พุทธมณฑลสายสี่,15,1,2,18-10-2563,"แยกพุทธมณฑลสาย 4 
จ.สมุทรสาคร","เรียกร้องแก้ไขรัฐธรรมนูญ,ปฏิรูปสถาบันกษัตริย์,ขับไล่รัฐบาล หรือบุคคลในรัฐบาล",,"1,2,3,4",,
47,#ม็อบ18ตุลา : สระบุรีไม่เอาเผด็จการ,15,1,2,18-10-2563,"จุดพักรถบายพาส 
จ.สระบุรี",ออกมาร่วมกันต้านเผด็จการ ขับไล่รัฐบาล หรือบุคคลในรัฐบาล,,1,,
48,#ม็อบ18ตุลา : ม.ทักษิณ,15,1,2,18-10-2563,"มหาวิทยาลัยทักษิณ 
จ.สงขลา",,,,,
49,#ม็อบ18ตุลา : ศรีสะเกษจะไม่ทน,15,1,2,18-10-2563,"ศาลหลักเมือง 
จ.ศรีสะเกษ",เพื่อแสดงความไม่พอใจต่อการใช้ความรุนแรงต่อผู้ชุมนุมโดยสงบปราศจากอาวุธ,,1,,
50,#ม็อบ18ตุลา : ระยอง,15,1,2,18-10-2563,"สวนสุขภาพเทศบาลเมืองบ้านฉาง 
จ.ระยอง","เรียกร้องแก้ไขรัฐธรรมนูญ,ขับไล่รัฐบาล หรือบุคคลในรัฐบาล,ปฏิรูปสถาบันกษัตริย์",,"1,2,3,4",,
51,"กิจกรรม “และแล้วผองเพื่อนก็เคลื่อนพล” โดย กลุ่มดาวดิน,ขอนแก่นพอกันที และภาคีนักเรียน KKC ",15,1,2,18-10-2563,"อนุสาวรีย์ประชาธิปไตยขอนแก่น 
จ.ขอนแก่น",เพื่อเรียกร้องตามข้อเรียกร้อง 3 ข้อ 1.นายกรัฐมนตรีลาออก 2.เปิดประชุมสภาสมัยวิสามัญเพื่อยกร่างแก้ไขรัฐธรรมนูญ 3.ปฏิรูปสถาบันกษัตริย์ และปล่อยนักกิจกรรมทางการเมืองที่อยู่ในเรือนจำ,,"1,2,3,4",,
52,#ม็อบ18ตุลา : เชียงใหม่,15,1,2,18-10-2563,"ศาลช้าง ศาลาอ่างแก้ว 
จ.เชียงใหม่","เรียกร้องแก้ไขรัฐธรรมนูญ,ขับไล่รัฐบาล หรือบุคคลในรัฐบาล และเรียกร้องให้มหาวิทยาลัยออกมาปกป้องนักศึกษา","มีแถลงการณ์เรียกร้องต่อผู้บริหารมหาวิทยาลัยเชียงใหม่ คือ
 
1. ผู้บริหารมหาวิทยาลัยเชียงใหม่ ต้องแถลงการณ์แสดงจุดยืนในการให้ความช่วยเหลือนักศึกษาที่ถูกควบคุมตัว,ออกหมายจับและถูกดำเนินคดีทางการเมืองผ่านสื่อ

2. มหาวิทยาลัยเชียงใหม่ จะต้องรับประกันความปลอดภัยของนักศึกษาทุกคนที่ร่วมกันจัดกิจกรรมขับเคลื่อนทางการเมืองภายในมหาวิทยาลัยจากการคุกคามของเจ้าหน้าที่รัฐ ","1,2,3",,
