event_no,event_name,pre_event,reaction_type,player,date,location,cause,proposal,key_topic,hashtag,tag
32,"กิจกรรม ""ม็อบไม่มุ้งมิ้งแต่ตุ้งติ้งค่ะคุณรัฐบาล"" โดยกลุ่ม ""เสรีเทยพลัส"" ",1,1,1,25-07-2563,"อนุสาวรีย์ประชาธิปไตย 
กรุงเทพมหานคร","- ประกาศจุดยืนและข้อเรียกร้อง 3 ประการ สืบเนื่องจากม็อบเยาวชนปลดแอก

- จัดกิจกรรมล้อเลียนประยุทธ์

- สนับสนุนความเท่าเทียมทางเพศ","สนับสนุนข้อเรียกร้อง 3 ประการ

1. “ยุบสภา”

2. “หยุดคุกคามประชาชน” 

3. “ร่างรัฐธรรมนูญใหม่” 

และเรียกร้องให้รัฐบาลและผู้มีส่วนเกี่ยวข้อง สนับสนุนการแก้ไขประมวลกฎหมายแพ่งและพาณิชย์เพื่อให้บุคคลทุกเพศสามารถสมรสกันได้อย่างถูกกฎหมาย หรือ สมรสเท่าเทียมเกิดขึ้นในประเทศไทย

(https://www.thairath.co.th/news/politic/1897225)","1,2,3",,
33,"กิจกรรม ""จันรีไม่ทนคนจัญไร"" ",1,1,2,26-07-2563,"สนามกีฬาสามเหลี่ยม
จ.จันทบุรี",,,,,
34,"กิจกรรม โดยกลุ่ม ""ภูเก็ตปลดแอก""",1,1,2,26-07-2563,"วงเวียนหอย สะพานหิน
จ.ภูเก็ต",,,,,
35,"กิจกรรม ""หนองบัวลำภูทนบ่ไหวแล้ว"" โดยเยาวชนกลุ่มเสรีประชาธิปไตยนิสิตนักศึกษาหนองบัวลำภู",1,1,1,26-07-2563,"สวนสุขภาพข้างตลาดแม่สำเนียง
จ.หนองบัวลำภู",,,,,
36,"กิจกรรม ""หนองคายสิบ่ทน"" ",1,1,2,26-07-2563,"ลานน้ำพุพญานาค เทศบาลเมืองหนองคาย
จ.หนองคาย",,,,,
37,กิจกรรม “ลำปางรวมการเฉพาะกิจ” ,1,1,1,26-07-2563,"สวนสาธารณะห้าแยกหอนาฬิกา
จ.ลำปาง",,,,,
38,กิจกรรม #วิ่งกันนะแฮมทาโร่ (โดยกลุ่มแนวร่วมนวชีวิน) ,1,1,1,26-07-2563,"อนุสาวรีย์ประชาธิปไตย 
กรุงเทพมหานคร","วิ่งมีการตะโกนคำว่า “ยุบสภาฯ” และร้องแฮมทาโร่สลับกันไป บางส่วนก็มีป้ายแสดงความคิดเห็นที่เขียนข้อความต่างๆ มาชูระหว่างการวิ่ง

 https://thestandard.co/lets-run-hamtaro-dissolve-parliament-protesting/",,"1,2,3",,
39,กิจกรรมกินแมคฯฟรี #กรูหิวกรูไม่ทน โดยกลุ่มประชาชนปลดกระดุม นำโดย สมบัติ บุญงามอนงค์ ,1,1,2,26-07-2563,"ร้านแมคฯ ตรงข้ามอนุสาวรีย์ประชาธิปไตย
กรุงเทพมหานคร",,,,,
40,กิจกรรม “ส้มโอ โอโห้! โอชา” โดยกลุ่มขบวนการประชาธิปไตยใหม่,1,1,2,27-07-2563,"อนุสาวรีย์ประชาธิปไตย
กรุงเทพมหานคร",,,,,
41,กิจกรรม “แปดริ้วจะไม่ทนกับประชาธิปไตยจอมปลอม”,1,1,2,27-07-2563,"ลานกิจกรรม หน้าโรงพยาบาลพุทธโสธร
จ.ฉะเชิงเทรา",ประกาศข้อเรียกร้อง 3 ข้อ,"1. ขอให้รัฐบาลยุบสภา 

2. ให้รัฐบาลหยุดคุกคามคนเห็นต่าง 

3. เรียกร้องให้ร่างรัฐธรรมนูญขึ้นมาใหม่ ","1,2,3",,
42,กิจกรรม “พะเยาบ่าเอาแป้ง” โดยกลุ่มนักศึกษามหาวิทยาลัยพะเยา,1,1,1,27-07-2563,"หน้ามหาวิทยาลัยพะเยา
จ.พะเยา",ประกาศข้อเรียกร้องถึงรัฐบาล 3 ข้อ,"1. ขอให้รัฐบาลยุบสภา 

2. ให้รัฐบาลหยุดคุกคามคนเห็นต่าง 

3. เรียกร้องให้ร่างรัฐธรรมนูญขึ้นมาใหม่  
","1,2,3",,
43,การจัดชุมนุม โดยนักศึกษา ม.บูรพาสระแก้ว,1,1,1,27-07-2563,"หน้าองค์พระสยามเทวาธิราช อ.อรัญประเทศ
จ.สระแก้ว",,,,,
44,กิจกรรมเชิงสัญลักษณ์ขับไล่รัฐบาลครั้งที่สอง โดยกลุ่มเยาวชนปลดแอก นักศึกษา ม.เชียงใหม่ ตัวแทนนักศึกษาจากสถาบันในภาคเหนือ ,2,1,1,29-07-2563,"ประตูท่าแพ
จังหวัดเชียงใหม่",,,,,
45,กิจกรรม “วิ่งแฮมทาโร่”,"1,37",1,1,29-07-2563,"ลานข้างบ่อบำบัดน้ำเสีย เทศบาลนครนครสวรรค์
จ.นครสวรรค์",,,,,
46,กิจกรรม  #เด็กนนท์ พร้อมชนเผด็จการ #แฮมเตอร์นนท์ ไล่รัฐบาล #ลูกทุเรียนนนท์ ต่อต้านเผด็จการ,"1,37",1,1,29-07-2563,ลานกิจกรรม ริมเขื่อนท่าน้ำนนทบุรี,https://www.naewna.com/politic/508428,,,,
47,กิจกรรมของกลุ่ม “สุพรรณไม่เอาเผด็จการ”,1,1,2,29-07-2563,"หน้าศาลากลางจังหวัดสุพรรณบุรี
จ.สุพรรณบุรี",,,,,
48,กิจกรรม #เมืองเลยสิบ่ทนก๋อ,1,1,2,29-07-2563,"สวนสาธารณะกุดป่อง
จ.เลย",,,,,
49,กิจกรรม “ลูกหลานนักศึกษาล้างจาน: ล้างอยุติธรรม: ล้างบางรัฐบาลเผด็จการ” โดยกลุ่ม 24 มิถุนา ประชาธิปไตย,1,1,2,30-07-2563,"หน้าทำเนียบรัฐบาล
กรุงเทพมหานคร","แสดงสัญลักษณ์ของการขับไล่รัฐบาล พร้อมยื่นข้อเรียกร้องให้รัฐบาลรื้อฟื้นคดีของวรยุทธ์หรือ ""บอส"" อยู่วิทยา และขอให้รัฐบาลตรวจสอบการปฏิบัติหน้าที่ของอัยการ เจ้าหน้าที่ตำรวจ และพนักงานสอบสวนที่เกี่ยวข้องว่าบกพร่องในหน้าที่หรือปฏิบัติหน้าที่โดยมิชอบหรือไม่","ขอให้รัฐบาลรื้อฟื้นคดีของวรยุทธ์หรือ ""บอส"" อยู่วิทยา และขอให้รัฐบาลตรวจสอบการปฏิบัติหน้าที่ของอัยการ เจ้าหน้าที่ตำรวจ และพนักงานสอบสวนที่เกี่ยวข้องว่าบกพร่องในหน้าที่หรือปฏิบัติหน้าที่โดยมิชอบหรือไม่","1,2",,
50,กิจกรรม “อย่าปล่อยให้เผด็จการเป็นเรื่องปกติ” โดยนักศึกษา 3 สถาบันพระจอมเกล้าฯ,1,1,1,30-07-2563,"มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ
กรุงเทพมหานคร",,,,,
51,กิจกรรม “Hamtaro Oak Oak Run” โดยกลุ่มแฮมทาโร่ตรวจไฟ พร้อมด้วยกลุ่มนักเรียนนักศึกษา,"1,37",1,2,30-07-2563,"ลานพระบรมราชานุสาวรีย์สมเด็จพระเจ้าตากสินฯ วงเวียนใหญ่
กรุงเทพมหานคร","รวมตัวกันเพื่อแสดงออกตามเจตนารมณ์ทางการเมืองตามแนวทางประชาธิปไตย 
https://www.dailynews.co.th/politics/787435","กลุ่มผู้ชุมนุมมีจุดยืนเรียกร้อง 3 ข้อต่อรัฐบาล คือ 
- ยุบสภา
- แก้ไขรัฐธรรมนูญ 
- หยุดคุกคามประชาชน
","1,2,3",,
52,กิจกรรมไล่รัฐบาล โดยนักเรียนจากโรงเรียนสาธิต ม.ศิลปากร โรงเรียนศรีวิชัยวิทยา นักศึกษาและศิษย์เก่า ,1,1,1,30-07-2563,"มหาวิทยาลัยศิลปากร สนามจันทร์
จ.นครปฐม",ไล่รัฐบาล,,"1,2",,
53,กิจกรรม #ลูกพ่อแลไม่แคร์เผด็จการ #ชัยภูมิจะไม่ทน,1,1,2,30-07-2563,"อนุสาวรีย์เจ้าพ่อพญาแล
จ.ชัยภูมิ",,,,,
54,กลุ่มอาชีวะช่วยชาติ รวมตัวจัดกิจกรรม ปกป้องสถาบันพระมหากษัตริย์,1,2,2,30-07-2563,"อนุสาวรีย์ประชาธิปไตย 
กรุงเทพมหานคร","https://news.thaipbs.or.th/content/295032?read_meta=%7B%22label%22%3A%22articlepage_number3%22%2C%22group%22%3A%22NA%22%7D

แสดงความจงรักภักดีต่อสถาบันพระมหากษัตริย์",,,,
55,นักเรียนเตรียมอุดมศึกษา กลุ่ม #เกียมอุดมไม่ก้มหัวให้เผด็จการ จัดเวรี่แฟลชม็อบ “แจวเรือ! ตามหาประชาธิปไตย”,1,1,1,31-07-2563,"ลานอเนกประสงค์
โรงเรียนเตรียมอุดมศึกษา
กรุงเทพมหานคร",,,,,
56,กิจกรรม “เขียนจดหมาย บันทึกเก็บไว้ ก่อนเปิดสู่สาธารณะ 10 ปี” โดยเครือข่ายนักเรียน นิสิต นักศึกษาเคียงข้างประชาชนเพื่อประชาธิปไตย (คนป.) และ สนท. ,1,1,1,31-07-2563,"ไปรษณีย์กลาง บางรัก
กรุงเทพมหานคร",,,,,
57,กิจกรรมแฟลชม็อบ “ยืนชูกระดาษเปล่า” โดยกลุ่ม มศว คนรุ่นใหม่,1,1,1,31-07-2563,"สกายวอล์ก สี่แยกปทุมวัน
กรุงเทพมหานคร",,,,,
58,กลุ่มเยาวชนจัดกิจกรรมแฟลชม็อบ Hamtaro Oak Oak Run “ของอร่อยที่สุดคือภาษีประชาชน” ,"1,37",1,1,31-07-2563,"ใต้สะพานตากสิน
กรุงเทพมหานคร",การวิ่งแฮมทาโร่เป็นวงกลมใต้สะพานตากสิน เพื่อต่อต้านเผด็จการ ยุบสภา ร่างรัฐธรรมนูญโดยประชาชน ยกเลิก พ.ร.ก.ฉุกเฉิน,,"1,2,3",,
59,กิจกรรมตบยุงไล่ลุงตู่ โดยนิสิต ม.นเรศวร,1,1,1,31-07-2563,"สนามหน้าคณะสังคมศาสตร์ มหาวิทยาลัยนเรศวร 
จ.พิษณุโลก ",,,,,
60,กิจกรรม “คนอุบลรวมพลไม่ทนเผด็จการ” โดยกลุ่มวิ่งไล่ลุงอุบลฯ และกลุ่มคนอุบลรวมพลทุกชนชั้น,1,1,2,01-08-2563,"ศาลหลักเมือง
จังหวัดอุบลราชธานี",ประกาศข้อเรียกร้อง 4 ข้อ ,"1. เรียกร้องร่างรัฐธรรมนูญใหม่ 

2. 'ประยุทธ์' ลาออกจากนายกฯ 

3. หยุดคุกคามประชาชน 

4. ยุบสภา
","1,2,3",,
61,"กิจกรรม ""#ราชบุรีขอตีกับเผด็จการ"" โดยกลุ่มเยาวชนราชบุรีปลดแอก",1,1,1,01-08-2563,"ริมแม่น้ำแม่กลอง หน้าธนาคารออมสินสาขาราชบุรี 
จ.ราชบุรี",ประกาศข้อเรียกร้อง 3 ข้อ,"นายกฯ ต้องประกาศยุบสภา หยุดคุกคามประชาชน และร่างรัฐธรรมนูญใหม่
","1,2,3",,
62,การชุมนุมของกลุ่มสุราษฎร์จะฟาดเผด็จการ,1,1,1,01-08-2563,"บริเวณสะพานนริศ อ.เมือง
จ.สุราษฎร์ธานี",ประกาศข้อเรียกร้อง 3 ข้อ,"1.ให้ยุบสภาคืนอำนาจจัดการเลือกตั้งใหม่ 

2.หยุดคุกคาม ริดรอน สิทธิเสรีภาพ ประชาชน 

3.ให้มีการร่างรัฐธรรมนูญฉบับใหม่จากตัวแทนของประชาชน
","1,2,3",,
63,กิจกรรม #ศรีมหาโพธิ์คู่บ้านแต่ไม่อยู่คู่เผด็จการ,1,1,1,01-08-2563,"ลาน ร.5
จ.ปราจีนบุรี ",,,,,
64,คณะประชาชนเพื่ออิสรภาพ รวมตัวที่หน้าอนุสรณ์สถาน 14 ตุลา 16 ถนนราชดำเนิน ขี่จักรยานไปหน้าทำเนียบ,1,1,2,02-08-2563,"ถนนราชดำเนิน -> หน้าทำเนียบรัฐบาล
กรุงเทพมหานคร",,,,,
65,ประชาชนรวมตัวกันทำกิจกรรมแฟลชม็อบหน้ามัสยิดกรือเซะ,1,1,2,02-08-2563,"ลานหน้ามัสยิดกรือเซะ
จ.ปัตตานี","เรียกร้องให้แก้ไขรัฐธรรมนูญ, เรียกร้องให้ยุบสภา, เรียกร้องให้หยุดคุกคามประชาชน",,"1,2,3",,
66,"ไมค์ ภาณุพงศ์ จาดนอก, เพนกวิน พริษฐ์ ชิวารักษ์ พร้อมชาวระยอง ชุมนุมร่วมกัน

กิจกรรม #ระยองไม่ทนคนระยำ ของกลุ่มเยาวชนตะวันออกเพื่อประชาธิปไตย",1,1,1,02-08-2563,"หอนาฬิกา เทศบันเทิงพลาซ่า 
จ.ระยอง",,"1.ขอให้ผู้มีอำนาจหยุดคุกคามประชาชน 

2. ร่างรัฐธรรมนูญใหม่ 

3. ให้รัฐบาลยุบสภา","1,2,3",,
67,"กิจกรรม ""#เผด็จการเป็นเหตุศรีสะเกษจะไม่ทน""",1,1,2,02-08-2563,"ศาลหลักเมืองศรีสะเกษ 
จ.ศรีสะเกษ",ประกาศข้อเรียกร้อง 3 ข้อ,"แก้ไขรัฐธรรมนูญ , ยุบสภา และหยุดคุกคามประชาชน ","1,2,3",,
68,สมบัติ บุญงามอนงค์ จัดกิจกรรม ซุ่มกินแมค,1,1,2,02-08-2563,"ประตูท่าแพ
จังหวัดเชียงใหม่",,,,,
69,กิจกรรม #สหภาพปลดแอกร้อยเอ็ด ,1,1,1,02-08-2563,"ลานหน้าบึงพลาญชัย 
จ.ร้อยเอ็ด",ประกาศข้อเรียกร้อง 3 ข้อ,"ยุบสภา , หยุดคุกคามประชาชน , ร่างรัฐธรรมนูญใหม่ที่มีเนื้อหาเป็นธรรมต่อประชาชน","1,2,3",,
70,"กลุ่ม ""มหานครเพื่อประชาธิปไตย"" ร่วมกับ ""กลุ่มมอกะเสด"" จัดการชุมนุมในชื่อ”เสกคาถา ผู้พิทักษ์ปกป้องประชาธิปไตย”",1,1,2,03-08-2563,"อนุสาวรีย์ประชาธิปไตย 
กรุงเทพมหานคร","อานนท์ นำภา ขึ้นปราศรัยในประเด็นการขยายพระราชอำนาจของสถาบันพระมหากษัตริย์และการปฏิรูปสถาบันฯ ""เป็นครั้งแรก""

https://themomentum.co/harry-potter-themed-protests-in-thailand/",การปฏิรูปสถาบันพระมหากษัตริย์ (ถูกพูดถึงเป็นครั้งแรก),"1,2,3, *4",,
71,กิจกรรม “ภูพานตระหง่านฟ้า คู่ประชาธิปไตย อีสานบ่ทนสกลฯ ลุกขึ้นสู้ ต้านเผด็จการ”,1,1,1,03-08-2563,มรภ.สกลนคร,,,,,
72,กิจกรรม “มองสภาใหม่ฝันให้ไกล สร้างไม่เสร็จ” โดยสิรภพ พุ่มพึ่งพุทธ ตัวแทนกลุ่มมศว. คนรุ่นเปลี่ยน,1,1,1,06-08-2563,"บริเวณหน้าอาคารรัฐสภา
กรุงเทพมหานคร",มาดูการก่อสร้างรัฐสภา ที่ใช้เวลาก่อสร้างอย่างยาวนาน ว่าจะเกิดความคุ้มค่ากับภาษีประชาชนหรือไม่ และจะเป็นการเสียค่าโง่ในการก่อสร้างอีกหรือไม่ เพราะไม่ทราบงบประมาณที่แท้จริงว่าใช้จ่ายไปเท่าไหร่แล้ว เนื่องจากที่ผ่านมามีการขอขยายระยะเวลาการก่อสร้างหลายครั้ง และติดขัดปัญหาการเวรคืนที่ดินมาตลอด,,1,,
73,"แถลงข่าวเปิดตัว ""คณะประชาชนปลดแอก"" (Free people) (การรวมตัวกันของหลายกลุ่ม เช่น เยาวชนปลดแอก เสรีเทยพลัส)",1,1,2,07-08-2563,"อนุสาวรีย์ประชาธิปไตย
กรุงเทพมหานคร",- ยกระดับการเคลื่อนไหวต่อเนื่องจากการชุมนุมของเยาวชนปลดแอก เมื่อวันที่ 18 กรกฎาคม 2563 เพราะ รัฐบาลยังคงนิ่งเฉยไม่ดําเนินการตามข้อเรียกร้อง 3 ข้อ,"ข้อเรียกร้อง 3 ข้อ

1. ""หยุดคุกคามประชาชน""

2. ""ร่างรัฐธรรมนูญใหม่"" 

3. ""ยุบสภา""

(https://themomentum.co/free-people/)","1,2,3",,
74,"ตำรวจคุมตัว ""อานนท์ นำภา - ภาณุพงศ์ จาดนอก"" 2 แกนนำการชุมนุมทางการเมืองฝากขังศาลอาญารัชดา หลังร่วมเวทีชุมนุมกับกลุ่มเยาวชนปลดแอกเมื่อวันที่ 18 ก.ค. 63",1,2,4,07-08-2563,"สน.สำราญราษฎร์ -> ศาลอาญารัชดา
กรุงเทพมหานคร",https://news.thaipbs.or.th/content/295286,,,,
